Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment ,HUne,Wealth,HWe,Attraction,Hotspot
Freddie's Chicken and Waffles,29.9441425,-90.0656837,"814 S Peters St, New Orleans, LA 70130, United States",ChIJAWbxJpenIIYRh-_twXrXXMs,/biz/freddies-chicken-and-waffles-new-orleans?osq=Restaurants,70130,0.13555901018644,3.9,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Ernst Cafe,29.9471636,-90.0656169,"600 S Peters St, New Orleans, LA 70130, United States",ChIJ1QTXdnKmIIYRJWSDd95mm44,/biz/ernst-cafe-new-orleans?osq=Restaurants,70130,0.110929357890818,4.5,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Galliano Restaurant,29.9443856,-90.0654858,"200 Julia St, New Orleans, LA 70130, United States",ChIJeTwq43GmIIYRXyQ0C6ZO-Qo,/biz/galliano-restaurant-new-orleans?osq=Restaurants,70130,0.243587574650298,4.3,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Effervescence,29.9634452,-90.0654254,"1036 N Rampart St, New Orleans, LA 70116, United States",ChIJgaftTAWmIIYRu2ecNuhmQ5U,/biz/effervescence-new-orleans?osq=Restaurants,70116,0.0085674829491296,4.5,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,0
Restaurant Rebirth,29.9435429,-90.0653454,"857 Fulton St, New Orleans, LA 70130, United States",ChIJu0I92XGmIIYRlLatCmZMTfk,/biz/restaurant-rebirth-new-orleans?osq=Restaurants,70130,0.18880433257254,4.2,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
The Court of Two Sisters,29.9575361,-90.065281,"613 Royal St, New Orleans, LA 70130, United States",ChIJgTgvHA6mIIYR8-Hw_kHU-f0,/biz/the-court-of-two-sisters-new-orleans-5?osq=Restaurants,70130,0.133542990898342,4.2,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Evangeline,29.9541862,-90.0652628,"329 Decatur St, New Orleans, LA 70130, United States",ChIJu6OReBKmIIYRaANz7fDtoxk,/biz/evangeline-new-orleans?osq=Restaurants,70130,0.177807974728694,4.2,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Pat O'Brien's,29.9582536,-90.0652496,"718 St Peter, New Orleans, LA 70116, United States",ChIJDyC9Ig6mIIYRDWmrSR08N54,/biz/pat-o-brien-s-new-orleans?osq=Restaurants,70116,0.139599991473212,4.1,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Thaihey Nola,29.953643,-90.0652429,"308 Decatur St, New Orleans, LA 70130, United States",ChIJrehSbh2nIIYRoBQzHXEM78c,/biz/thaihey-nola-new-orleans?osq=Restaurants,70130,0.138597140286954,4.6,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
The Original Pierre Maspero's,29.955734,-90.065238,"440 Chartres St, New Orleans, LA 70130, United States",ChIJTSWaCRKmIIYRk27PVcEYqRs,/biz/the-original-pierre-masperos-new-orleans?osq=Restaurants,70130,0.271406279372017,4.1,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Napoleon House,29.9558754,-90.065056,"500 Chartres St, New Orleans, LA 70130, United States",ChIJZYGmBhKmIIYRPBmyGfELFTs,/biz/napoleon-house-new-orleans-2?osq=Restaurants,70130,0.153016974671236,4.2,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Grand Isle,29.9472696,-90.0649435,"575 Convention Center Blvd, New Orleans, LA 70130, United States",ChIJD5xLjm2mIIYRpzcqBXn7Fos,/biz/grand-isle-new-orleans-2?osq=Restaurants,70130,0.135082825191898,4.5,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Batture Bistro and Bar,29.9519868,-90.0648275,"111 Iberville St, New Orleans, LA 70130, United States",ChIJofx2OIinIIYRBprY1RQqmxI,/biz/batture-bistro-and-bar-new-orleans?osq=Restaurants,70130,0.106881217015095,3.8,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Mulate's,29.9444401,-90.0647975,"201 Julia St, New Orleans, LA 70130, United States",ChIJvTnAEW6mIIYRqA7o0JRIRyA,/biz/mulates-new-orleans?osq=Restaurants,70130,0.0902438205805447,4.4,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Gumbo Shop,29.9576883,-90.064524,"630 St Peter, New Orleans, LA 70116, United States",ChIJ7SpQ6RGmIIYRsuU_zP71sBI,/biz/gumbo-shop-new-orleans-2?osq=Restaurants,70116,0.210946062967206,4.4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Pig Out Nola Barbecue,29.9565345,-90.0642942,"537 Toulouse St, New Orleans, LA 70130, United States",ChIJF2rh39unIIYRt3Z3qVftowI,/biz/pig-out-nola-barbecue-new-orleans?osq=Restaurants,70130,0.141091421547857,3.6,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Tableau,29.9575154,-90.0642051,"616 St Peter, New Orleans, LA 70116, United States",ChIJA-r3jBGmIIYRSU0d0aPyNnE,/biz/tableau-new-orleans?osq=Restaurants,70116,0.156573586376514,4.4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
Sylvain,29.9571181,-90.0641919,"625 Chartres St, New Orleans, LA 70130, United States",ChIJh_VU8xGmIIYRz3a5MFFCaI8,/biz/sylvain-new-orleans?osq=Restaurants,70130,0.161266276102059,2.9,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
Doris Metropolitan,29.9569642,-90.0640581,"620 Chartres St, New Orleans, LA 70130, United States",ChIJw-JSixGmIIYR0_4fo_kybQw,/biz/doris-metropolitan-new-orleans?osq=Restaurants,70116,0.104705807211858,4,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
The New Orleans Vampire Cafe,29.9590251,-90.0640341,"801 Royal St, New Orleans, LA 70116, United States",ChIJ57-rtxGmIIYRnJBZSrGhJmk,/biz/the-new-orleans-vampire-cafe-new-orleans?osq=Restaurants,70116,0.169598687272755,4.1,45,6099,51,1,5299,44.3,0,6,0.1,0,37,0.3,0,0,0,0,1008,45.9,1,11.4,1,36842,0,1,1
New Orleans Creole Cookery,29.9561435,-90.0639819,"508 Toulouse St, New Orleans, LA 70130, United States",ChIJM3NJIxKmIIYRpa5RBYqsR0c,/biz/new-orleans-creole-cookery-new-orleans?osq=Restaurants,70130,0.144702453426303,4.5,107,8970,63.7,1,4226,30,0,33,0.2,0,195,1.4,0,0,0,0,2547,66.4,1,4.1,1,65132,1,1,1
