Restaurant,Latitude,Longitude,Address,Place-ID,URL,ZIP,Avg. exposure,Stars,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attraction,Hotspot
Ghost Sando Shop,34.0839558,-118.3596674,"7801 Melrose Ave Unit 1 A, Los Angeles, CA 90046, United States",ChIJdUgk4nm_woARXff-FF2OdeY,/biz/ghost-sando-shop-los-angeles-2?osq=Restaurants,90046,0.102172867333333,5,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
My Two Cents,34.0498552,-118.3596244,"5583 W Pico Blvd, Los Angeles, CA 90019, United States",ChIJa8OZJBC5woARblCK_qJudYI,/biz/my-two-cents-los-angeles-3?osq=Restaurants,90019,0.0214656046666667,2.9,19471,31.9,10822,17.7,390,0.6,10762,17.6,216,0.4,4304,40.3,8.2,61616,0,0
MIAN %7C %E6%BB%8B%E5%91%B3%E5%B0%8F%E9%9D%A2,34.03278,-118.35742,"5263 W Adams Blvd  Los Angeles, CA 90016  West Adams",-,/biz/mian-%E6%BB%8B%E5%91%B3%E5%B0%8F%E9%9D%A2-los-angeles?osq=Restaurants,90016,0.1417985,4.1,16100,35.1,12997,28.3,82,0.2,2070,4.5,34,0.1,3252,35.7,6.5,53659,0,0
Indian Curry and Kabob,34.0544515,-118.3549403,"5607 San Vicente Blvd, Los Angeles, CA 90019, United States",ChIJK2Ixyxu5woAREmznP5PiG-Y,/biz/indian-curry-and-kabob-los-angeles-2?osq=Restaurants,90019,0.103428411,5,19471,31.9,10822,17.7,390,0.6,10762,17.6,216,0.4,4304,40.3,8.2,61616,0,0
7455 SUSHI by Roshi,34.0838318,-118.3525411,"7455 Melrose Ave, Los Angeles, CA 90046, United States",ChIJOZjVZKm_woARD876vjY69x0,/biz/7455-sushi-by-roshi-los-angeles-2?osq=Restaurants,90046,0.004231989,5,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
ATTITUDE CAFE,34.0702213,-118.3517065,"6009 W 3rd St, Los Angeles, CA 90036, United States",ChIJseODnpa5woARkmR1LwNLA9o,/biz/attitude-cafe-los-angeles-3?osq=Restaurants,90036,0.0759042036666667,4.8,23600,62.8,1934,5.1,75,0.2,7529,20,5,0,7655,78.4,8.6,87868,1,0
The Village Idiot,34.0838011,-118.3509493,"7383 Melrose Ave, Los Angeles, CA 90046, United States",ChIJT0xWkdS-woARNtrwjHf8Sg4,/biz/the-village-idiot-los-angeles?osq=Restaurants,90046,0.07272797,3.8,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Blu Jam Caf%C3%A9,34.0839785752563,-118.350547002401,"7371 Melrose Ave  Los Angeles, CA 90046  Fairfax",-,/biz/blu-jam-caf%C3%A9-los-angeles-2?osq=Restaurants,90046,0.094143742,4.2,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,1
Chibiscus Asian Cafe,34.098333,-118.350376,"7361 Sunset Blvd, Los Angeles, CA 90046, United States",ChIJ7wbnx96-woAR_4UR4uSwdB4,/biz/chibiscus-asian-cafe-los-angeles-2?osq=Restaurants,90046,0.100851126333333,4.3,35153,72.1,2825,5.8,194,0.4,3224,6.6,46,0.1,9364,69.2,8.2,77162,0,0
Jurassic Magic Coffee,34.0409463,-118.3486132,"1865 S Mansfield Ave, Los Angeles, CA 90019, United States",ChIJcf2UMQO5woARfUKkuMQX5d8,/biz/jurassic-magic-coffee-los-angeles?osq=Restaurants,90019,0.0301932776666667,4.4,19471,31.9,10822,17.7,390,0.6,10762,17.6,216,0.4,4304,40.3,8.2,61616,0,0
