Name_x,URL,ZIP,Avg. Exposure,Stars,Latitude,Longitude,Address,Place-ID,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Attractions,Hotspot
Khob Khun Thai Cuisine & Breakfast,/biz/khob-khun-thai-cuisine-and-breakfast-san-francisco-2?osq=Restaurants,94118,0.102409019333333,4.7,37.7809632,-122.459617,"3741 Geary Blvd, San Francisco, CA 94118, United States",ChIJOVo6WPuHhYARQFse7qfZZqk,22014,53.1,681,1.6,97,0.2,13753,33.2,72,0.2,7921,86.3,4.3,139043,1,1
Pye,/biz/pye-san-francisco-2?osq=Restaurants,94129,0.0390611026666667,3.9,37.8018496907041,-122.458071114067,"Main Post Lawn, San Francisco, CA 94129, United States",ChIJ1ZfinGXFhYARFPbCMxvQMds,2611,62.2,75,1.8,29,0.7,315,7.5,0,0,1079,89.2,2.7,218717,1,1
Kaiju Eats Ramen and Izakaya,/biz/kaiju-eats-ramen-and-izakaya-san-francisco-3?osq=Restaurants,94118,0.155551732,3.9,37.7812224,-122.4555652,"3409 Geary Blvd, San Francisco, CA 94118, United States",ChIJQ3EuyjeHhYAR15kVNRu15SU,22014,53.1,681,1.6,97,0.2,13753,33.2,72,0.2,7921,86.3,4.3,139043,1,1
CreoLa,/biz/creola-san-francisco-3?osq=Restaurants,94117,0.163859716333333,4.5,37.7662724,-122.4527283,"900 Stanyan St, San Francisco, CA 94117, United States",ChIJVSnB6cSHhYARC6c6jj_wbZQ,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Parada 22,/biz/parada-22-san-francisco?osq=Restaurants,94117,0.199112137,4.2,37.7692461,-122.4521319,"1805 Haight St, San Francisco, CA 94117, United States",ChIJ1c-fK1KHhYAR319Uwh4VKUA,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Cha Cha Cha,/biz/cha-cha-cha-san-francisco-4?osq=Restaurants,94117,0.156679591333333,3.9,37.7692568,-122.4520459,"1801 Haight St, San Francisco, CA 94117, United States",ChIJCRye1FOHhYARZNi7x7aio5c,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
What The Cluck - Haight,/biz/what-the-cluck-haight-san-francisco?osq=Restaurants,94117,0.0714927783333333,4.2,37.7695784,-122.4514912,"1782 Haight St, San Francisco, CA 94117, United States",ChIJM9vEjiyHhYARM9IeVfURMyg,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
The Alembic,/biz/the-alembic-san-francisco?osq=Restaurants,94117,0.0588284253333333,4.1,37.7693264,-122.4511621,"1725 Haight St, San Francisco, CA 94117, United States",ChIJ4RMby1OHhYARsGxnl40kWbg,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
Shanghai Dumpling King,/biz/shanghai-dumpling-king-san-francisco-4?osq=Restaurants,94114,0.124181670333333,4.5,37.7318139,-122.4510143,"696 Monterey Blvd, San Francisco, CA 94127, United States",ChIJAQBwItd9j4ARdeYh7lD6xj8,24366,70.7,964,2.8,154,0.4,4777,13.9,105,0.3,6822,89.2,4.3,169459,1,1
Papa's Kitchen,/biz/papas-kitchen-san-francisco?osq=Restaurants,94117,0.0856020583333333,4.3,37.7694129,-122.4509439,"1705 Haight St, San Francisco, CA 94117, United States",ChIJ1egHZdOHhYARZL9YwcctK_Y,28656,70.4,2120,5.2,204,0.5,4957,12.2,0,0,12173,86.4,2.8,174419,1,1
