Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
Paesano Ristorante Italiano,37.3361417,-121.8987222,"350 W Julian St, San Jose, CA 95110, United States",ChIJMQ2_0qHMj4AR1WY9czWjKGg,/biz/paesano-ristorante-italiano-san-jose?osq=Restaurants,4.3,95110,1,0.206841755666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Restaurante Sabor,37.3253876,-121.8984897,"500 W San Carlos St, San Jose, CA 95126, United States",ChIJKTSZ7eLNj4AR3HzyarlkCNg,/biz/restaurante-sabor-san-jos%C3%A9?osq=Restaurants,4.1,95127,1,0.0225270716666667,18221,28.9,829,1.3,631,1,16532,26.2,600,1,3008,31.1,5.5,110887,0
Bertucelli's La Villa,37.3046501,-121.8984669,"1319 Lincoln Ave, San Jose, CA 95125, United States",ChIJZYOIG1kzjoAR8_DT701ukqw,/biz/bertucellis-la-villa-san-jose?osq=Restaurants,4.3,95125,1,0.180487020666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Siena Bistro,37.3039138,-121.8984493,"1359 Lincoln Ave, San Jose, CA 95125, United States",ChIJdTIVPFkzjoARuzCqG1Lgra8,/biz/siena-bistro-san-jose-2?osq=Restaurants,4.2,95125,1,0.0424401423333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,1
Henry's World Famous Hi-Life,37.3353731,-121.8980615,"301 W St John St, San Jose, CA 95110, United States",ChIJkXmJt6HMj4AR_CU3a1r9eYg,/biz/henrys-world-famous-hi-life-san-jose?osq=Restaurants,3.6,95110,1,0.0897664566666667,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,0
Enoteca La Storia - San Jose,37.3350444,-121.8979942,"320A W St John St, San Jose, CA 95110, United States",ChIJjUeEsKHMj4AR_PeGYMYqzjU,/biz/enoteca-la-storia-san-jose-san-jose-3?osq=Restaurants,4,95110,1,0.025789748,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
20Twenty Cheese Bar,37.3038006,-121.8977194,"1389 Lincoln Ave, San Jose, CA 95125, United States",ChIJpYt6N1kzjoARmo2URWKVJaw,/biz/20twenty-cheese-bar-san-jose-2?osq=Restaurants,3.9,95125,1,0.0301214083333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Vin Santo Ristorante,37.3042431,-121.8976888,"1346 Lincoln Ave, San Jose, CA 95125, United States",ChIJc7d0P1kzjoARRgeWq1Kd674,/biz/vin-santo-ristorante-san-jose?osq=Restaurants,3.7,95125,1,0.149875245333333,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Arepas Latin Cuisine - San Jose,37.3039739,-121.8973384,"1384 Lincoln Ave, San Jose, CA 95125, United States",ChIJY9uIN20zjoARaHHue9ApkLc,/biz/arepas-latin-cuisine-san-jose-san-jose?osq=Restaurants,4,95125,1,0.152516222666667,33319,62.3,1243,2.3,344,0.6,8044,15,119,0.2,3985,60.1,3.9,128452,0
Milohas,37.2556541,-121.8970162,"4662 Meridian Ave, San Jose, CA 95118, United States",ChIJJWxMG_QzjoARyb-jeT_ebds,/biz/milohas-san-jose?osq=Restaurants,4.6,95118,0,0.0086041806666666,18184,55.6,476,1.5,132,0.4,7376,22.6,190,0.6,1881,53.8,5,130745,0
