Restaurant,Latitude,Longitude,Address,Place-ID,URL,Stars,ZIP,Attractions,Avg. Exposure,White,ofWhite,Black,ofBlack,AmericanIndaian,ofAI,Asian,ofAisan,NativeHawiian,ofNativeHawiian,Edu,ofEDU,Unemployment,Wealth,Hotspot
K Cafe Patisserie & Tea House,37.3095448,-121.9321561,"923 S Bascom Ave, San Jose, CA 95128, United States",ChIJs_e4AuHLj4ARdYDo9k5d8pk,/biz/k-cafe-patisserie-and-tea-house-san-jose-3?osq=Restaurants,3.5,95128,1,0.0598360273333333,19004,53.7,1612,4.6,231,0.7,6620,18.7,315,0.9,3933,55.9,3.6,105563,0
Hometown Noodle,37.2611802,-121.9317815,"3617 Union Ave, San Jose, CA 95124, United States",ChIJP23WDVs0joARqP62rY71SyM,/biz/hometown-noodle-san-jose-5?osq=Restaurants,3.6,95124,0,0.131436172,30714,58.6,1052,2,165,0.3,13896,26.5,110,0.2,2992,61.4,4.1,165344,1
Hinodeya Campbell Town,37.2831557,-121.9313338,"2210 S Bascom Ave, Campbell, CA 95008, United States",ChIJhzdfk-c1joARgotYrid1P9U,/biz/hinodeya-campbell-town-campbell-2?osq=Restaurants,4.4,95008,1,0.152066305,27741,56.9,1205,2.5,197,0.4,12187,25,14,0,4550,62.8,3,128476,0
Mingle's Mango,37.4925404,-121.928545,"46529 Mission Blvd, Fremont, CA 94539, United States",ChIJJd3oqbbHj4ARF2TjG6BcmZo,/biz/mingles-mango-san-jose-2?osq=Restaurants,4,95111,0,0.017041038,16311,26.9,1150,1.9,451,0.7,20910,34.5,402,0.7,2349,27.5,4.9,81166,1
Dish N Dash - San Jose,37.3844502,-121.9273309,"2551 N First St, San Jose, CA 95131, United States",ChIJZ4RNoN_Lj4ARdmE5ulJiV6I,/biz/dish-n-dash-san-jose-san-jose?osq=Restaurants,4.3,95131,0,0.113809695666667,4380,13.9,792,2.5,111,0.4,22707,71.9,143,0.5,4524,76.4,5.8,151389,1
Trader Vics,37.3658817,-121.9257054,"1701 Airport Blvd, San Jose, CA 95110, United States",ChIJdYEs_B3Lj4ARlbMi1KaqNQQ,/biz/trader-vics-san-jose?osq=Restaurants,3.8,95110,1,0.132133614,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
Field to Table,37.3515316,-121.925489,"1123 Coleman Ave, San Jose, CA 95110, United States",ChIJj9CwbcfLj4ARO_GLaIBdIDQ,/biz/field-to-table-san-jose?osq=Restaurants,4.2,95110,1,0.0380928053333333,7204,35.4,645,3.2,273,1.3,3081,15.1,25,0.1,2680,55.6,3.7,119408,1
Park Station Hashery,37.3340247,-121.9246244,"1701 Park Ave, San Jose, CA 95126, United States",ChIJa89OUxPLj4ARi10p8709Ln0,/biz/park-station-hashery-san-jose?osq=Restaurants,3.6,95126,1,0.004265967,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,1
CRUST - Fresh Sourdough Deli,37.4119141,-121.9183765,"760 E Tasman Dr, Milpitas, CA 95035, United States",ChIJI0sb6OnJj4ARYJzltV-uA8M,/biz/crust-fresh-sourdough-deli-san-jose?osq=Restaurants,3.8,95112,1,0.0455428986666667,19694,33.7,2903,5,550,0.9,14867,25.4,268,0.5,6146,51.6,6,83224,0
Teaqueria,37.3407623,-121.9177478,"894 Emory St, San Jose, CA 95126, United States",ChIJ_w2YzDTLj4ARpgqCUP9z1MA,/biz/teaqueria-san-jose?osq=Restaurants,4.5,95126,1,0.06453328,17713,48.6,1886,5.2,336,0.9,6090,16.7,30,0.1,5602,65.4,4.4,116063,0
