Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
BKK thai kitchen + bar,27.7437058,-97.3797751,"3850 S Alameda St UNIT 27, Corpus Christi, TX 78411, United States",ChIJacrOw25faIYR3rpeuSXNt00,/biz/bkk-thai-kitchen-bar-corpus-christi-2?osq=Restaurants,78413,0.123638125,4.3,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,1
The Post At Lamar Park,27.7446637,-97.3797134,"411 Doddridge St #102, Corpus Christi, TX 78411, United States",ChIJ-4t-u25faIYRl9VY6_9aGcs,/biz/the-post-at-lamar-park-corpus-christi?osq=Restaurants,78411,0.583753034,3.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Neil's Urban Oven,27.6590196,-97.3796361,"6534 Yorktown Blvd #116, Corpus Christi, TX 78414, United States",ChIJ4_KMcAL1aIYRjsg4q_Hda7Y,/biz/neils-urban-oven-corpus-christi?osq=Restaurants,78414,0.112357158,2.7,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
JB's German Restaurant and Bakery,27.7253852,-97.379001,"4141 S Staples St Suite 100, Corpus Christi, TX 78411, United States",ChIJZ0wWL1P6aIYR6WGw2uRolm8,/biz/jbs-german-restaurant-and-bakery-corpus-christi?osq=Restaurants,78418,0.322334034,4.4,55,23329,77.7,1,923,3.1,0,152,0.5,1,1263,4.2,1,0,0,0,1320,40,1,5,1,80906,1,40,1,0
On The Border Mexican Grill & Cantina - Corpus Christi,27.7110706,-97.3786551,"5117 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJ_wL4_ZP1aIYR4X2lOHT2OGA,/biz/on-the-border-mexican-grill-and-cantina-corpus-christi-corpus-christi?osq=Restaurants,78411,0.122770867,2.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Ojos Locos Sports Cantina,27.7107822,-97.3780146,"5133 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJv5ePXfv1aIYRrsO4e55o_6o,/biz/ojos-locos-sports-cantina-corpus-christi?osq=Restaurants,78411,0.133695616,3.8,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Hacienda Vieja,27.7223424,-97.3769078,"2703 4301 S Staples St, Corpus Christi, TX 78411, United States",ChIJE2V1doz1aIYR1GG4GiWdsFk,/biz/hacienda-vieja-corpus-christi-2?osq=Restaurants,78411,0.102171423,3.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
TGI Fridays,27.710051,-97.376769,"5217 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJufvQb5T1aIYRHCEqsIb07CY,/biz/tgi-fridays-corpus-christi?osq=Restaurants,78411,0.135015945,4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Andy's Country Kitchen,27.6963494,-97.3766013,"5802 S Staples St, Corpus Christi, TX 78413, United States",ChIJ-cdNrLn1aIYRAlqlrdC3L80,/biz/andys-country-kitchen-corpus-christi?osq=Restaurants,78413,0.177099127,4.5,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Waffles Unlimited,27.6963494,-97.3766013,"5802 S Staples St, Corpus Christi, TX 78413, United States",ChIJ-cdNrLn1aIYRAlqlrdC3L80,/biz/waffles-unlimited-corpus-christi?osq=Restaurants,78414,0.108539694,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Takeniwa Asian Fusion Bistro,27.7117906,-97.3765843,"5216 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJeQ09jpP1aIYRYwoWkHw8zW8,/biz/takeniwa-asian-fusion-bistro-corpus-christi?osq=Restaurants,78411,0.134200677,3.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Authentic New York Pizza,27.6955932,-97.3763719,"5838 S Staples St, Corpus Christi, TX 78413, United States",ChIJgWtKoLn1aIYRc3Pz0LRTzCo,/biz/authentic-new-york-pizza-corpus-christi?osq=Restaurants,78413,0.119128358,2.1,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Olive Garden Italian Restaurant,27.711751,-97.376106,"5258 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJlRtqgJP1aIYRf3kF5kcj7MQ,/biz/olive-garden-italian-restaurant-corpus-christi-3?osq=Restaurants,78411,0.10698773,2.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Tokyo Hibachi Steak House,27.697401,-97.375736,"5702 S Staples St c1, Corpus Christi, TX 78413, United States",ChIJa5b847j1aIYRU7b0REXYPEY,/biz/tokyo-hibachi-steak-house-corpus-christi-2?osq=Restaurants,78413,0.130394729,4,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Hanaya Poke Southside,27.6803259,-97.3744961,"6113 Saratoga Blvd a, Corpus Christi, TX 78414, United States",ChIJwwhU_rr1aIYR8ztKwqvRlQc,/biz/hanaya-poke-southside-corpus-christi-4?osq=Restaurants,78414,0.124379562,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Roasted Coffee Shop,27.7013723,-97.3744412,"5535 Bonner Dr, Corpus Christi, TX 78411, United States",ChIJAX5URwD1aIYRobvkr7mVaT8,/biz/roasted-coffee-shop-corpus-christi?osq=Restaurants,78411,0.081566985,3.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Mikoto Ramen,27.6803149,-97.3743832,"6113 Saratoga Blvd B, Corpus Christi, TX 78414, United States",ChIJW2rGokr0aIYR09qCLfOWSIs,/biz/mikoto-ramen-corpus-christi?osq=Restaurants,78414,0.133986854,4.7,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Ora's Kitchen,27.7019481,-97.3743591,"5433 S Staples St q1, Corpus Christi, TX 78411, United States",ChIJrY1BwCP1aIYRLte9kXI4rNg,/biz/oras-kitchen-corpus-christi?osq=Restaurants,78411,0.136388619,3.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Taiwan Restaurant,27.7082609,-97.3741584,"5425 S Padre Island Dr #168, Corpus Christi, TX 78411, United States",ChIJb58lmer1aIYRckBYGFXYakY,/biz/taiwan-restaurant-corpus-christi?osq=Restaurants,78411,0.10547869,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Flatiron Grill,27.710864,-97.373617,"5488 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJ0-2IqZT1aIYRA6r6fRGC_s8,/biz/flatiron-grill-corpus-christi?osq=Restaurants,78408,0.10716736,3.2,20,7079,68.8,0,1019,9.9,1,30,0.3,0,53,0.5,0,0,0,0,57,4.1,0,1.4,0,37488,0,82,1,1
LongHorn Steakhouse,27.710864,-97.373617,"5488 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJ0-2IqZT1aIYRA6r6fRGC_s8,/biz/longhorn-steakhouse-corpus-christi-3?osq=Restaurants,78411,0.113263708,3.6,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Gemini Sushi & Business Lounge,27.7027156,-97.3735997,"5413 S Staples St, Corpus Christi, TX 78411, United States",ChIJbeK0J2_1aIYRz1lGCcNvwH8,/biz/gemini-sushi-and-business-lounge-corpus-christi?osq=Restaurants,78411,0.133244233,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Twin Peaks,27.7083453,-97.373149,"5425 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJ20C9K-v1aIYR_clSBG54M5w,/biz/twin-peaks-corpus-christi?osq=Restaurants,78411,0.12567531,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
P.F. Chang's,27.7104449,-97.3728011,"5488 S Padre Island Dr #5001, Corpus Christi, TX 78411, United States",ChIJf_rdPZP1aIYRY-OBOSGZHPU,/biz/p-f-changs-corpus-christi?osq=Restaurants,78411,0.123531687,4.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Steak 'n Shake,27.7112217,-97.3727589,"5488 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJVz6iXJP1aIYR2W7oOrIGGGc,/biz/steak-n-shake-corpus-christi-2?osq=Restaurants,78411,0.050946343,3.6,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Ninja Bar Wings and Seafood,27.6783371,-97.3725452,"6181 Saratoga Blvd Ste: 107A, Corpus Christi, TX 78414, United States",ChIJaxIw0Y71aIYRimNg3snssEM,/biz/ninja-bar-wings-and-seafood-corpus-christi?osq=Restaurants,78414,0.151398173,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Oyshi Sushi3 Southside,27.6782958,-97.3724634,"6181 Saratoga Blvd #109, Corpus Christi, TX 78414, United States",ChIJi7RZyF31aIYRojPCygrx1Eg,/biz/oyshi-sushi3-southside-corpus-christi?osq=Restaurants,78414,0.107705797,3,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Grimaldi's Pizzeria,27.7102716,-97.3723898,"5488 S Padre Island Dr Suite 1202, Corpus Christi, TX 78411, United States",ChIJf_rdPZP1aIYRGCnFxXo2Xp0,/biz/grimaldis-pizzeria-corpus-christi-5?osq=Restaurants,78411,0.152004893,3.6,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Ol' Steakhouse Co,27.7294485,-97.3722806,"4307 Avalon St, Corpus Christi, TX 78412, United States",ChIJz6Xp7F9faIYRbOBkzwyXGRg,/biz/ol-steakhouse-co-corpus-christi?osq=Restaurants,78412,0.247582684,4.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
The Barn,27.7297981,-97.3722418,"4301 S Alameda St A, Corpus Christi, TX 78412, United States",ChIJORUH619faIYRP8U2D3fNfxU,/biz/the-barn-corpus-christi-4?osq=Restaurants,78412,0.197421191,4.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Schlotzsky's,27.7321465,-97.3721795,"4218 S Alameda St Suite 180, Corpus Christi, TX 78412, United States",ChIJQ5DnKV5faIYRLfOnc5950pM,/biz/schlotzskys-corpus-christi-2?osq=Restaurants,78412,0.067776306,3.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Drunkn' Noodlez Asian Restaurant,27.7319446,-97.3719991,"4214 S Alameda St, Corpus Christi, TX 78412, United States",ChIJnxnYKV5faIYRLKaSjkCp8Pk,/biz/drunkn-noodlez-asian-restaurant-corpus-christi?osq=Restaurants,78412,0.137874671,3.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Town & Country Cafe,27.7319078,-97.3719726,"4228 S Alameda St, Corpus Christi, TX 78412, United States",ChIJaUAkKl5faIYRrrc5YqTszCg,/biz/town-and-country-cafe-corpus-christi?osq=Restaurants,78412,0.142559337,3.5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Dave & Buster's,27.7102309,-97.371895,"5488 S Padre Island Dr Ste 1260, Corpus Christi, TX 78411, United States",ChIJAR7VTcX1aIYRm3Nmtp3hLkw,/biz/dave-and-busters-corpus-christi-2?osq=Restaurants,78411,0.104540313,3.6,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Cancun Mexican Restaurant,27.731192,-97.3718166,"4252 S Alameda St, Corpus Christi, TX 78412, United States",ChIJP6Bv019faIYRBab6yFErBAg,/biz/cancun-mexican-restaurant-corpus-christi?osq=Restaurants,78412,0.111440614,4.1,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Howie's Premium Subs,27.7059607,-97.3716837,"Next to HEB Between Jamba Juice and GNC, 5425 S Padre Island Dr Suite 113, Corpus Christi, TX 78411, United States",ChIJg2ilo5_1aIYRPzcR8uf3B8o,/biz/howie-s-premium-subs-corpus-christi?osq=Restaurants,78411,0.146480992,3.5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Raising Canes's,27.7074379,-97.3712048,"5425 S Padre Island Dr #138, Corpus Christi, TX 78411, United States",ChIJzbz--Mz1aIYR3kuzXvBqD7s,/biz/raising-canes-s-corpus-christi?osq=Restaurants,78411,0.114067882,3.3,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Hibachi Grill & Supreme Buffet,27.7047313,-97.3710606,"5274 S Staples St, Corpus Christi, TX 78411, United States",ChIJi8ITMsD1aIYRGZtOO8EU2BY,/biz/hibachi-grill-and-supreme-buffet-corpus-christi?osq=Restaurants,78411,0.128326866,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Chili's,27.70878,-97.370771,"5542 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJUZbIA-v1aIYRs93wL7K2u5s,/biz/chilis-corpus-christi-4?osq=Restaurants,78411,0.021491299,4.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Eirinis Gyros and More,27.7290623,-97.3699936,"4360 S Alameda St, Corpus Christi, TX 78412, United States",ChIJC3s3e19faIYRgGm2Vdc1NTQ,/biz/eirinis-gyros-and-more-corpus-christi?osq=Restaurants,78412,0.169725769,4.4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
A&A Gyro & More,27.7290623,-97.3699936,"4360 S Alameda St, Corpus Christi, TX 78412, United States",ChIJC3s3e19faIYRgGm2Vdc1NTQ,/biz/a-and-a-gyro-and-more-corpus-christi?osq=Restaurants,78414,0.148148741,4.3,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Mac's Barbecue,27.7293205,-97.369981,"4354 S Alameda St, Corpus Christi, TX 78412, United States",ChIJ24xOel9faIYR8L9R1hITZdY,/biz/macs-barbecue-corpus-christi?osq=Restaurants,78412,0.124204604,3.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Razzoo's Cajun Cafe,27.7089432,-97.3696724,"4953 S Staples St, Corpus Christi, TX 78412, United States",ChIJz_ZvUkb1aIYRYODSTkgAs9g,/biz/razzoos-cajun-cafe-corpus-christi?osq=Restaurants,78411,0.159783406,3.9,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
Corner Bakery Cafe,27.7086039,-97.3691342,"4938 S Staples St, Corpus Christi, TX 78411, United States",ChIJdanL4VBeaIYRKaC8K7vo8Z0,/biz/corner-bakery-cafe-corpus-christi?osq=Restaurants,78411,0.095005584,5,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,1
MOD Pizza,27.7110801,-97.369112,"4938 S Staples St, Corpus Christi, TX 78411, United States",ChIJ6WKepr_1aIYRopRBhUBpsFE,/biz/mod-pizza-corpus-christi?osq=Restaurants,78411,0.128120367,2.4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Grub Burger Bar,27.7111391,-97.3690989,"4902 S Staples St, Corpus Christi, TX 78412, United States",ChIJ2S6KLOr1aIYRnH-BbFtpmhs,/biz/grub-burger-bar-corpus-christi-2?osq=Restaurants,78412,0.142793325,4.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Ramen Legend,27.7078189,-97.3681888,"4938 S Staples St c16, Corpus Christi, TX 78411, United States",ChIJVb_gUs_1aIYRsTYcQL_qvZA,/biz/ramen-legend-corpus-christi?osq=Restaurants,78412,0.264240547,4.2,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Hanaya Poke SPID,27.7107888,-97.3681643,"4938 S Staples St Ste E5, Corpus Christi, TX 78411, United States",ChIJURori4j1aIYR5zASpb6GaR8,/biz/hanaya-poke-spid-corpus-christi?osq=Restaurants,78411,0.128806856,3.3,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Googly's,27.6938934,-97.3664646,"6062 Holly Rd b1, Corpus Christi, TX 78412, United States",ChIJnY9g8s_1aIYRndJIklF2ljw,/biz/googlys-corpus-christi?osq=Restaurants,78412,0.072600337,2.7,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Redline Burger,27.7075386,-97.3658874,"5858 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJ3dL0Mmf1aIYRCfv47Mgc9ZY,/biz/redline-burger-corpus-christi?osq=Restaurants,78415,0.012733149,3,54,29415,70.7,0,1233,3,0,27,0.1,0,342,0.8,0,0,0,0,713,11.9,0,9.2,1,49255,0,127,0,0
Red Lobster,27.70487,-97.36584,"5825 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJl-Ixd8L1aIYRy1EkLl1VSVk,/biz/red-lobster-corpus-christi?osq=Restaurants,78412,0.012689504,2.1,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Salt Water Grill,27.6861915,-97.3654371,"2401 Cimarron Blvd, Corpus Christi, TX 78414, United States",ChIJV1YVScz1aIYR-c5DuU2FDS8,/biz/salt-water-grill-corpus-christi-2?osq=Restaurants,78414,0.519253607,4.2,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Cheddar's Scratch Kitchen,27.70425,-97.3653,"5855 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJZcysYcL1aIYRCDGYHu_JpRs,/biz/cheddars-scratch-kitchen-corpus-christi-2?osq=Restaurants,78412,0.124593459,3.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Odi's Pizzeria Napoletana,27.6934507,-97.3652769,"2033 Airline Rd, Corpus Christi, TX 78412, United States",ChIJURcs5CL1aIYRVT07plnbYPA,/biz/odis-pizzeria-napoletana-corpus-christi?osq=Restaurants,78412,0.164559056,3.9,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
JaJa Cafe,27.7096642,-97.3649243,"5714 McArdle Rd, Corpus Christi, TX 78412, United States",ChIJucugeAn1aIYR82Ke9cUjQWE,/biz/jaja-cafe-corpus-christi?osq=Restaurants,78412,0.211426406,4.6,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Ninja Ramen and Thai,27.6938792,-97.3647126,"2033 airline rd STE: E5, Corpus Christi, TX 78412, United States",ChIJwwPXWnr1aIYRpf5zQCPJLcc,/biz/ninja-ramen-and-thai-corpus-christi?osq=Restaurants,78412,0.132253573,4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Marco's Pizza,27.6766262,-97.3646965,"2821 Airline Rd Suite 1, Corpus Christi, TX 78414, United States",ChIJk7BFbiT1aIYR5hkdfx8LPo4,/biz/marcos-pizza-corpus-christi?osq=Restaurants,78414,0.047002632,5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Mudbugs Cajun Icehouse,27.6785792,-97.3646546,"2743 Airline Rd, Corpus Christi, TX 78414, United States",ChIJ-Zj0Hmj1aIYRp6E4xewA-QA,/biz/mudbugs-cajun-icehouse-corpus-christi?osq=Restaurants,78414,0.140942488,3.2,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Yardarm Restaurant,27.7370358,-97.3646316,"4310 Ocean Dr, Corpus Christi, TX 78412, United States",ChIJhcqnFlpfaIYRpSDSjv4_VxU,/biz/yardarm-restaurant-corpus-christi?osq=Restaurants,78412,0.228424276,3.7,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Dao Authentic Asian Cusine,27.6936684,-97.3642682,"2033 Airline Rd g3, Corpus Christi, TX 78412, United States",ChIJSQnsXGb1aIYRPwkUSG2Cnoo,/biz/dao-authentic-asian-cusine-corpus-christi?osq=Restaurants,78412,0.193649577,4.3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Chuy's,27.7036801,-97.364085,"5933 S Padre Island Dr, Corpus Christi, TX 78412, United States",ChIJNfTB6ML1aIYROt3HeXYJxHM,/biz/chuys-corpus-christi?osq=Restaurants,78412,0.131049468,2.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Hom Pom cafe,27.6886403,-97.3639476,"2233 Airline Rd, Corpus Christi, TX 78414, United States",ChIJjT3n0Zj1aIYR9HS3I7xWAAQ,/biz/hom-pom-cafe-corpus-christi?osq=Restaurants,78412,0.159281913,4.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Tacobar Street,27.7246859,-97.3633993,"4711 S Alameda St, Corpus Christi, TX 78412, United States",ChIJ3aV0Pfj1aIYROPs3A3jvo_8,/biz/tacobar-street-corpus-christi?osq=Restaurants,78412,0.160275499,4.8,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Catfish Charlie's,27.7094053,-97.3633835,"5830 McArdle Rd #12, Corpus Christi, TX 78412, United States",ChIJrypNiuj1aIYRltiwNBfeEhw,/biz/catfish-charlies-corpus-christi?osq=Restaurants,78412,0.144271425,3.4,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Chapala Grill,27.6864193,-97.3632874,"2330 Airline Rd, Corpus Christi, TX 78414, United States",ChIJsaCOLZj1aIYRVTqn4XD4_jY,/biz/chapala-grill-corpus-christi?osq=Restaurants,78414,0.016888883,3.4,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
House of Burgers & Wings,27.7009182,-97.3632083,"1645 Airline Rd, Corpus Christi, TX 78412, United States",ChIJfbArRMP1aIYRKMKu003Zsso,/biz/house-of-burgers-and-wings-corpus-christi-2?osq=Restaurants,78412,0.123518029,3.6,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Thai Cottage Corpus Christi,27.7096944,-97.3629222,"Crossroads Shopping Village, 5830 McArdle Rd, Corpus Christi, TX 78412, United States",ChIJrypNiuj1aIYRvXwJWJN8Su4,/biz/thai-cottage-corpus-christi-corpus-christi-2?osq=Restaurants,78412,0.14916765,3,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,1
Black Monk Tavern,27.7170487,-97.3628559,"5712 Gollihar Rd, Corpus Christi, TX 78412, United States",ChIJs3CL--_1aIYRVrqR0GVko4A,/biz/black-monk-tavern-corpus-christi?osq=Restaurants,78412,0.246711771,4.6,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
Saigon's Civet Cafe,27.6883376,-97.362713,"2222 Airline Rd. Suite: A1, Corpus Christi, TX 78414, United States",ChIJ6ZxbA7X1aIYREHZ5CNWkChg,/biz/saigon-s-civet-cafe-corpus-christi?osq=Restaurants,78414,0.128211941,4.5,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Wonders Bar & Grill,27.7243355,-97.3627098,"4733 S Alameda St, Corpus Christi, TX 78412, United States",ChIJD1nqXvf1aIYRPLpeMAfw0KQ,/biz/wonders-bar-and-grill-corpus-christi?osq=Restaurants,78412,0.113871577,5,75,29948,72.9,1,1525,3.7,0,131,0.3,0,1687,4.1,1,41,0.1,1,2088,29.2,1,8.8,1,51280,0,120,1,0
