Restaurant,Latitude,Longitude,Address_x,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White_x,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,OBJECTID,Attraction,Hotspot
Ara's Seafood & Steaks,27.675694,-97.39058,"6917 S Staples St, Corpus Christi, TX 78413, United States",ChIJC9zVBFT0aIYRxtPV22_vZOI,/biz/aras-seafood-and-steaks-corpus-christi?osq=Restaurants,78413,0.115652009,4.6,68,27538,74.4,1,1492,4,1,180,0.5,1,848,2.3,0,0,0,0,1376,25.7,1,5.1,1,73859,1,3,1,0
Blackbeard's On The Beach,27.8190609,-97.3904168,"3117 Surfside Blvd, Corpus Christi, TX 78402, United States",ChIJH7mfloFeaIYRK9k8L3iJ6u8,/biz/blackbeards-on-the-beach-corpus-christi?osq=Restaurants,78402,0.177609658,3.6,6,181,77.7,1,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,103,1,0
Jersey Mike's Subs,27.755264,-97.38994,"3235 S Alameda St, Corpus Christi, TX 78404, United States",ChIJ4RupAZ9faIYRy-l1-3-hxeY,/biz/jersey-mikes-subs-corpus-christi-2?osq=Restaurants,78411,0.091168863,3.2,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Texas Flame Steakhouse,27.7157716,-97.3897655,"4535 S Padre Island Dr #33, Corpus Christi, TX 78411, United States",ChIJzdH6UoP1aIYR37wV5gIkaHo,/biz/texas-flame-steakhouse-corpus-christi?osq=Restaurants,78411,0.128226742,4,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Yo Philly Cheese Steaks & Subs,27.8203187,-97.3895038,"3314 Surfside Blvd, Corpus Christi, TX 78402, United States",ChIJGUpR-IFeaIYRwU2uE9J-Yrw,/biz/yo-philly-cheese-steaks-and-subs-corpus-christi?osq=Restaurants,78402,0.146132133,3.6,6,181,77.7,1,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,103,1,0
Islands Bar And Grill,27.8190020091802,-97.3894657599601,"3200 Surfside Blvd, Corpus Christi, TX 78402, United States",ChIJFfdcjT6raYYRCaYLvta9yj8,/biz/islands-bar-and-grill-corpus-christi?osq=Restaurants,78402,0.008425073,3.6,6,181,77.7,1,21,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000,0,103,1,0
Sals Bronx Pizza,27.6638989,-97.3894427,"5922 Yorktown Blvd Suite 106, Corpus Christi, TX 78414, United States",ChIJoY3exlv1aIYRoe-tKfds5Ow,/biz/sals-bronx-pizza-corpus-christi?osq=Restaurants,78414,0.142577864,3.7,51,31039,67.3,0,1076,2.3,0,104,0.2,0,2488,5.4,1,44,0.1,1,2830,38.1,1,2.7,0,87231,1,8,1,0
Hooters,27.7164226,-97.3893751,"4551 S Padre Island Dr, Corpus Christi, TX 78411, United States",ChIJMcJ-qYT1aIYRTI0lrPR1SEM,/biz/hooters-corpus-christi?osq=Restaurants,78411,0.012847798,3.7,109,18431,76.2,1,760,3.1,0,57,0.2,0,316,1.3,0,0,0,0,654,18.5,0,5.9,1,55357,0,66,1,0
Landry's Seafood House,27.7978026,-97.3890314,"600 N Shoreline Blvd, Corpus Christi, TX 78401, United States",ChIJiUGhyPReaIYRkV3-sf3K9Uk,/biz/landrys-seafood-house-corpus-christi-2?osq=Restaurants,78401,0.169708312,3.4,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
Harrison's Landing,27.796914,-97.3889447,"108 Peoples St T-Head, Corpus Christi, TX 78401, United States",ChIJpX7WSPVeaIYRa3xPsmD6WpA,/biz/harrisons-landing-corpus-christi-2?osq=Restaurants,78401,0.248420273,3.5,39,3230,69.3,0,486,10.4,1,14,0.3,0,36,0.8,0,0,0,0,43,5.9,0,2,0,30625,0,1,1,0
