Name_x,URL,ZIP,Count,AverageExposure,Stars,Latitude,Longitude,Address,PlaceID,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Cubaneo,/biz/cubaneo-chicago?osq=Restaurants,60657,233,0.004466043,5,41.9349395,-87.6440569,"2873 N Broadway, Chicago, IL 60657, United States",ChIJxU1rK5HTD4gRBAFkq93mkFE,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Kababish - BBQ & Grill,/biz/kababish-bbq-and-grill-chicago?osq=Restaurants,60610,166,0.054201252,4.6,41.9106037,-87.6436203,"1546 N Larrabee St, Chicago, IL 60610, United States",ChIJcVkY6-zTD4gRHd1V0JPgAJw,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Avec - Chicago,/biz/avec-chicago-chicago?osq=Restaurants,60661,100,0.094190084,4.3,41.8842861,-87.643401,"615 W Randolph St, Chicago, IL 60661, United States",ChIJNYrg38UsDogRP1lxJuC05hw,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,1
Del Seoul,/biz/del-seoul-chicago?osq=Restaurants,60614,269,0.004367771,3.4,41.9294615,-87.6429558,"2568 N Clark St, Chicago, IL 60614, United States",ChIJmcIAGwzTD4gRC37nKNYVECg,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Alla Vita,/biz/alla-vita-chicago?osq=Restaurants,60661,100,0.013130995,4.3,41.884577,-87.6425231,"564 W Randolph St, Chicago, IL 60661, United States",ChIJEUAV9zMtDogRJbm6cdw59JE,6913,62.4,1,283,2.6,0,0,0,0,3177,28.7,1,0,0,0,4788,94.4,1,1.9,0,139063,1,0,1
Qiao Lin Hotpot,/biz/qiao-lin-hotpot-chicago-2?osq=Restaurants,60616,195,0.125732674,4.7,41.8539185,-87.6415922,"2105 S Jefferson St Suite A, Chicago, IL 60616, United States",ChIJvec7ZoYtDogRUm_Xw_yGddw,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,0
Firenze Italian Street Food,/biz/firenze-italian-street-food-chicago-2?osq=Restaurants,60622,218,0.113482612,5,41.884137,-87.640973,"131 N Clinton St, Chicago, IL 60661, United States",ChIJFRVfSsYsDogRt4XEF8LjjD0,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,1
Barangaroos Aussie Pies,/biz/barangaroos-aussie-pies-chicago?osq=Restaurants,60657,233,0.062150566,4.5,41.884137,-87.640973,"131 N Clinton St, Chicago, IL 60661, United States",ChIJ76ZzG3ktDogRPXQNT8HUcLY,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,1
Wake `n Bacon,/biz/wake-n-bacon-chicago?osq=Restaurants,60657,233,0.137149162,4.2,41.9402209,-87.6403387,"420 W Belmont Ave, Chicago, IL 60657, United States",ChIJVXuId7HTD4gRpx9OtFIPatY,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Canal Street Eatery & Market,/biz/canal-street-eatery-and-market-chicago?osq=Restaurants,60606,149,0.004431457,5,41.877216,-87.6400373,"314 S Canal St, Chicago, IL 60606, United States",ChIJ16YJsywtDogRnFIYuZ4DqRk,2045,62,1,16,0.5,0,0,0,0,1087,33,1,0,0,0,1047,98.1,1,3.9,1,130196,1,1,0
Boxcar Betty's,/biz/boxcar-bettys-chicago-2?osq=Restaurants,60622,218,0.067602753,4.6,41.8821487,-87.6399307,"500 W Madison St, Chicago, IL 60661, United States",ChIJHfKkQLYtDogRTcU2huEDWjs,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,0
Obelix,/biz/obelix-chicago?osq=Restaurants,60654,156,0.116963188,4.5,41.8949187,-87.6386592,"700 N Sedgwick St, Chicago, IL 60654, United States",ChIJuS3rXR4tDogRfctqorJ8Qng,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
3 Little Pigs Chi,/biz/3-little-pigs-chi-chicago?osq=Restaurants,60610,166,0.15423422,4.9,41.8973543,-87.6385033,"Chicago, IL 60610, United States",ChIJvbOfnMXND4gRvWb5RRDrwsc,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Small Cheval,/biz/small-cheval-chicago-2?osq=Restaurants,60647,248,0.138126688,4.3,41.8849972,-87.6384474,"150 N Riverside Plaza, Chicago, IL 60606, United States",ChIJ8Ujt-ccsDogRWpoWONsAVxM,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Small Cheval,/biz/small-cheval-wicker-park-chicago?osq=Restaurants,60647,248,0.015931492,4.3,41.8849972,-87.6384474,"150 N Riverside Plaza, Chicago, IL 60606, United States",ChIJ8Ujt-ccsDogRWpoWONsAVxM,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Ikigai Sushi & Izakaya,/biz/ikigai-sushi-and-izakaya-chicago?osq=Restaurants,60654,156,0.040654631,4.7,41.8967757,-87.6384187,"372 W Chicago Ave, Chicago, IL 60654, United States",ChIJ_5nibVTTD4gR8F_8Tb96p24,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Chicago Pizza And Oven Grinder Company,/biz/chicago-pizza-and-oven-grinder-company-chicago?osq=Restaurants,60614,269,0.129237302,4.1,41.9207609,-87.6373869,"2121 N Clark St, Chicago, IL 60614, United States",ChIJx11WoWzTD4gRr2-RP6xmsaY,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Bar Mar by Jos%C3%A9 Andr%C3%A9s,/biz/bar-mar-by-jos%C3%A9-andr%C3%A9s-chicago?osq=Restaurants,60606,149,0.157675497,4.4,41.88417,-87.63712,"120 N Wacker Dr  Chicago, IL 60606  Washington St & Monroe St  The Loop",-,2045,62,1,16,0.5,0,0,0,0,1087,33,1,0,0,0,1047,98.1,1,3.9,1,130196,1,1,0
Gussie's Handmade Italian,/biz/gussies-handmade-italian-chicago?osq=Restaurants,60610,166,0.126748573,4.4,41.9108541,-87.6359523,"227 W North Ave, Chicago, IL 60610, United States",ChIJayq8iCvTD4gR0rGouR5iZis,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Ciccio Mio,/biz/ciccio-mio-chicago-2?osq=Restaurants,60654,156,0.15211873,4.7,41.889264,-87.6352141,"226 W Kinzie St, Chicago, IL 60654, United States",ChIJ3y7Zs1ctDogRSTUTHxxmFHI,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Indienne,/biz/indienne-chicago?osq=Restaurants,60654,156,0.134061457,4.8,41.8945578,-87.635062,"217 W Huron St, Chicago, IL 60654, United States",ChIJgaWIsk8tDogRXfsAkui5JOM,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Bereket Turkish Mediterranean Restaurant,/biz/bereket-turkish-mediterranean-restaurant-chicago?osq=Restaurants,60606,149,0.02198895,5,41.8771641,-87.6350232,"333 S Franklin St, Chicago, IL 60606, United States",ChIJRWQu36otDogRiuUdoiJ96rg,2045,62,1,16,0.5,0,0,0,0,1087,33,1,0,0,0,1047,98.1,1,3.9,1,130196,1,1,0
Bonchon,/biz/bonchon-chicago-2?osq=Restaurants,60622,218,0.079613489,3.8,41.8536843,-87.6349441,"2163 S China Pl #1f, Chicago, IL 60616, United States",ChIJbeU4mI8tDogRLwgldZC7UQw,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,1
Daifuku Ramen,/biz/daifuku-ramen-chicago?osq=Restaurants,60616,195,0.090750979,4.6,41.8537638,-87.634506,"2155 S China Pl # A, Chicago, IL 60616, United States",ChIJZ_2ePhwtDogRNS0ykoAYcJ0,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,1
The VIG Chicago,/biz/the-vig-chicago-chicago-2?osq=Restaurants,60610,166,0.206740509,4.1,41.9099152,-87.6344763,"1527 N Wells St, Chicago, IL 60610, United States",ChIJI9-FtkbTD4gREZQTuruTgt4,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Sushi By Bou - Coming Soon,/biz/sushi-by-bou-coming-soon-chicago?osq=Restaurants,60607,198,0.038505094,5,41.9152698,-87.6343802,"1816 N Clark St, Chicago, IL 60614, United States",ChIJCSTlCg_TD4gRJQzV_ECR9UE,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,0
Sushi By Bou,/biz/sushi-by-bou-chicago?osq=Restaurants,60614,269,0.023138035,4.8,41.9152698,-87.6343802,"1816 N Clark St, Chicago, IL 60614, United States",ChIJCSTlCg_TD4gRJQzV_ECR9UE,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Hawaiian Bros Island Grill,/biz/hawaiian-bros-island-grill-chicago?osq=Restaurants,60618,177,0.117686772,4.1,41.8864436,-87.6342963,"205 W Wacker Dr, Chicago, IL 60606, United States",ChIJxXbje6bTD4gRgZkgTguetDE,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,0
The L Station Lux & Soul,/biz/the-l-station-lux-and-soul-chicago?osq=Restaurants,60606,149,0.022176614,5,41.8853379,-87.6341608,"186 N Wells St, Chicago, IL 60606, United States",ChIJDQ2ZfpMtDogR93yPZkwW-Nk,2045,62,1,16,0.5,0,0,0,0,1087,33,1,0,0,0,1047,98.1,1,3.9,1,130196,1,1,0
MCCB Chicago %E6%97%B6%E5%B0%9A%E9%A3%9F%E8%B0%B1,/biz/mccb-chicago-%E6%97%B6%E5%B0%9A%E9%A3%9F%E8%B0%B1-chicago?osq=Restaurants,60616,195,0.129381188,4.5,41.85405012,-87.63327776,"2138 South Archer Ave  Chicago, IL 60616  Cermak Rd & 21st St  Chinatown",-,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,1
Sushi + Rotary Sushi Bar - Chinatown,/biz/sushi-rotary-sushi-bar-chinatown-chicago-3?osq=Restaurants,60616,195,0.204116133,4.4,41.8535452,-87.6329132,"2131 S Archer Ave, Chicago, IL 60616, United States",ChIJu-1lgzwtDogRVOfHy8GBrDs,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,1
Grill on 21,/biz/grill-on-21-chicago-2?osq=Restaurants,60601,118,0.017589055,3.9,41.8789847,-87.6324459,"208 S La Salle St, Chicago, IL 60604, United States",ChIJi9pYA2stDogRDgjYJM3e2D8,8683,58.7,1,1034,7,0,10,0.1,0,3865,26.1,1,0,0,0,5025,93.3,1,3.4,0,123115,1,1,0
River Roast,/biz/river-roast-chicago-3?osq=Restaurants,60654,156,0.14111376,4,41.8879482,-87.6322746,"315 N La Salle St, Chicago, IL 60654, United States",ChIJV_s6ILEsDogRR_5H7mQn4nw,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Happy Lamb Hot Pot,/biz/happy-lamb-hot-pot-chicago?osq=Restaurants,60616,195,0.057116136,4.3,41.8497335,-87.6320863,"2342 S Wentworth Ave, Chicago, IL 60616, United States",ChIJ2XNoa2QsDogRMUkADowOkIw,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,0
Qing Xiang Yuan Dumplings,/biz/qing-xiang-yuan-dumplings-chicago-3?osq=Restaurants,60616,195,0.252594059,4.2,41.8551711,-87.6319894,"2002 S Wentworth Ave #103, Chicago, IL 60616, United States",ChIJMaWLcmIsDogR7d-87VAKkbQ,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,1
The X Pot,/biz/the-x-pot-chicago?osq=Restaurants,60605,107,0.163524138,4.3,41.867632,-87.6319585,"1147 S Delano Ct East, Chicago, IL 60605, United States",ChIJFSy84_0tDogRCibwjlnDRts,20129,62.8,1,4620,14.4,0,49,0.2,0,4942,15.4,1,0,0,0,8623,84.3,1,6.8,1,112162,1,1,0
Arbella,/biz/arbella-chicago?osq=Restaurants,60654,156,0.08369116,4.4,41.891741,-87.6317757,"112 W Grand Ave, Chicago, IL 60654, United States",ChIJ-6dlubMsDogRavEceBs79j0,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Spicy Grandma Kitchen,/biz/spicy-grandma-kitchen-chicago-2?osq=Restaurants,60616,195,0.01761496,4.3,41.8494563,-87.6317029,"2353 S Wentworth Ave, Chicago, IL 60616, United States",ChIJwdT0tqwtDogRqI4rozWovkA,17968,33.8,0,12502,23.6,0,318,0.6,1,19788,37.3,1,0,0,0,9449,78.9,1,6.3,1,65489,0,1,0
Tandoor Char House,/biz/tandoor-char-house-chicago-5?osq=Restaurants,60622,218,0.013320613,4.2,41.8902082,-87.6316225,"110 W Hubbard St, Chicago, IL 60654, United States",ChIJO0_HWFYtDogRwzMXz98OrGw,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,1
Seoul Taco,/biz/seoul-taco-chicago-7?osq=Restaurants,60622,218,0.084626064,4.8,41.8960136,-87.6316048,"738 N Clark St, Chicago, IL 60654, United States",ChIJ_z01xUzTD4gRoIMucXz0La0,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,0
Seoul Taco,/biz/seoul-taco-chicago-2?osq=Restaurants,60654,156,0.103925861,4.1,41.8960136,-87.6316048,"738 N Clark St, Chicago, IL 60654, United States",ChIJ_z01xUzTD4gRoIMucXz0La0,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Jaleo by Jos%C3%A9 Andr%C3%A9s,/biz/jaleo-by-jos%C3%A9-andr%C3%A9s-chicago?osq=Restaurants,60654,156,0.130173064,3.8,41.8910962,-87.63130881,"500 N Clark St  Chicago, IL 60654  River North, Near North Side",-,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
LIVA,/biz/liva-chicago?osq=Restaurants,60654,156,0.004367771,5,41.8959707,-87.6310641,"739 N Clark St, Chicago, IL 60654, United States",ChIJ76nqJ03TD4gRqoioj78_co8,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
LIVA at Chicago Winery,/biz/liva-at-chicago-winery-chicago-3?osq=Restaurants,60654,156,0.073514737,5,41.8959707,-87.6310641,"739 N Clark St, Chicago, IL 60654, United States",ChIJ76nqJ03TD4gRqoioj78_co8,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,0
Ema,/biz/ema-chicago-6?osq=Restaurants,60654,156,0.139749803,4.3,41.8909595,-87.6308965,"74 W Illinois St, Chicago, IL 60654, United States",ChIJR1SjLbIsDogR2hKQQejxOtc,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Three Dots and A Dash,/biz/three-dots-and-a-dash-chicago?osq=Restaurants,60654,156,0.076137674,4.1,41.8902505,-87.6307448,"435 N Clark St, Chicago, IL 60654, United States",ChIJiX4KgLEsDogR8gugSnSptzY,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Antique Taco,/biz/antique-taco-chicago?osq=Restaurants,60622,218,0.12563311,4.1,41.8799308,-87.6305172,"125 S Clark St, Chicago, IL 60603, United States",ChIJ-aYHkLwsDogRbUBAafe4QgU,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,0
3 Arts Club Cafe,/biz/3-arts-club-cafe-chicago-10?osq=Restaurants,60610,166,0.040041191,4.1,41.905978,-87.6304406,"1300 N Dearborn St, Chicago, IL 60610, United States",ChIJI9-bbkXTD4gRXW_oUmh1zrg,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Kong Dog,/biz/kong-dog-chicago?osq=Restaurants,60607,198,0.136048828,4,41.8545724,-87.6304378,"2026 S Clark St Unit F, Chicago, IL 60616, United States",ChIJjRc4IgItDogRIRU5fahUqHQ,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,1
Barrio,/biz/barrio-chicago?osq=Restaurants,60654,156,0.132555608,4.2,41.8890412,-87.6304305,"353 North Clark, 65 W Kinzie St, Chicago, IL 60654, United States",ChIJhXG8orEsDogRA9eL9NhvwRE,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
RAMEN-SAN,/biz/ramen-san-chicago?osq=Restaurants,60654,156,0.017732574,4.2,41.8899006,-87.6303638,"59 W Hubbard St #2, Chicago, IL 60654, United States",ChIJywehhLEsDogR9KhezOlGDPo,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Il Porcellino,/biz/il-porcellino-chicago?osq=Restaurants,60654,156,0.140383416,4.3,41.8899515,-87.6302966,"59 W Hubbard St #2, Chicago, IL 60654, United States",ChIJJ3QOj7EsDogRnP9Ty8gAjlU,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
The Dearborn,/biz/the-dearborn-chicago-2?osq=Restaurants,60602,62,0.398390937,4.3,41.8843373,-87.6292766,"145 N Dearborn St, Chicago, IL 60602, United States",ChIJ-XdXNKUsDogRW-m5g5Siao8,623,54.6,1,38,3.3,0,380,33.3,1,101,8.8,1,0,0,0,335,67.5,1,0,0,235666,1,1,0
Cabaret Zazou,/biz/cabaret-zazou-chicago?osq=Restaurants,60601,118,0.145714725,4.8,41.8850059,-87.6287918,"32 W Randolph St 14th floor, Chicago, IL 60601, United States",ChIJq6UVHTMtDogRqvIFUBU2Wx4,8683,58.7,1,1034,7,0,10,0.1,0,3865,26.1,1,0,0,0,5025,93.3,1,3.4,0,123115,1,1,0
Maple & Ash,/biz/maple-and-ash-chicago?osq=Restaurants,60610,166,0.18175962,4.2,41.9020389,-87.6287472,"8 W Maple St, Chicago, IL 60610, United States",ChIJE8GjKE7TD4gR9CouUZM2Gis,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Bhoomi Modern Indian Grill,/biz/bhoomi-modern-indian-grill-chicago?osq=Restaurants,60602,62,0.004374517,4.9,41.8829463,-87.6286206,"15 W Washington St, Chicago, IL 60602, United States",ChIJR-m5HnotDogR8B8NixjGuok,623,54.6,1,38,3.3,0,380,33.3,1,101,8.8,1,0,0,0,335,67.5,1,0,0,235666,1,1,0
Polombia,/biz/polombia-chicago?osq=Restaurants,60602,62,0.013147887,4.5,41.8829813,-87.6285842,"Urban Space, 15 W Washington St, Chicago, IL 60602, United States",ChIJQ7BrowYtDogROp_cGiPanQU,623,54.6,1,38,3.3,0,380,33.3,1,101,8.8,1,0,0,0,335,67.5,1,0,0,235666,1,1,0
Velvet Taco,/biz/velvet-taco-chicago-5?osq=Restaurants,60610,166,0.026619458,4.2,41.9022009,-87.6285667,"1110 N State St, Chicago, IL 60610, United States",ChIJsQBKKE7TD4gRzk4bQL8afws,30940,72.9,1,5110,12,0,97,0.2,0,4019,9.5,1,7,0,0,13574,89.6,1,3.1,0,99246,1,0,0
Radio Room,/biz/radio-room-chicago?osq=Restaurants,60654,156,0.130222648,3.9,41.889389,-87.6281551,"400 N State St, Chicago, IL 60654, United States",ChIJ82QpFzYtDogRhTRfgK0kdTI,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Thai Basil,/biz/thai-basil-chicago?osq=Restaurants,60622,218,0.004388247,3.9,41.8936249,-87.6279255,"631 N State St, Chicago, IL 60654, United States",ChIJNX4s5r8tDogRte3GpGXu5NA,41086,75.2,1,3868,7.1,0,32,0.1,0,2794,5.1,0,50,0.1,1,18379,85,1,3.1,0,110694,1,0,1
Gordon Ramsay Burger,/biz/gordon-ramsay-burger-chicago?osq=Restaurants,60611,211,0.108533887,3.6,41.8935196,-87.627921,"2 E Ontario St, Chicago, IL 60611, United States",ChIJKQMYP-stDogRylePgyGTXjw,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,1
Pollo Campero,/biz/pollo-campero-chicago-6?osq=Restaurants,60611,211,0.031072729,5,41.8968561,-87.6273611,"20 E Chicago Ave, Chicago, IL 60611, United States",ChIJny5bDZvTD4gR3tNMiW7pLaM,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,0
Yardbird,/biz/yardbird-chicago?osq=Restaurants,60654,156,0.459515832,3.8,41.8918834,-87.6270332,"530 N Wabash Ave, Chicago, IL 60654, United States",ChIJqxH3MW8tDogR0L1uFTO2IvQ,16071,73.5,1,913,4.2,0,47,0.2,0,2671,12.2,1,0,0,0,8809,95.2,1,2.4,0,127072,1,1,1
Wake N Bakery,/biz/wake-n-bakery-chicago-4?osq=Restaurants,60614,269,0.027103772,4,41.8934665,-87.6266024,"38 E Ontario St, Chicago, IL 60611, United States",ChIJt1qdLRotDogRWRf_bgysNEM,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,1
Union,/biz/union-chicago-4?osq=Restaurants,60647,248,0.271699475,4.7,41.8788749,-87.6264788,"218 S Wabash Ave, Chicago, IL 60604, United States",ChIJQydJP70sDogRI6hqPubRXt0,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,1
Doc B's Restaurant + Bar,/biz/doc-bs-restaurant-bar-chicago-4?osq=Restaurants,60611,211,0.102066612,4.4,41.891576,-87.6263033,"55 E Grand Ave, Chicago, IL 60611, United States",ChIJ164utK0sDogRiAwE1he3T-c,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,1
Doc B's Restaurant + Bar,/biz/doc-bs-restaurant-bar-chicago-3?osq=Restaurants,60611,211,0.022383078,3.9,41.891576,-87.6263033,"55 E Grand Ave, Chicago, IL 60611, United States",ChIJ164utK0sDogRiAwE1he3T-c,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,1
The Bristol,/biz/the-bristol-chicago?osq=Restaurants,60647,248,0.127858224,4,41.8990596,-87.6261589,"57 E Delaware Pl, Chicago, IL 60611, United States",ChIJA7vGSVLTD4gRIoOXVaOBNUM,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,0
Eataly Chicago,/biz/eataly-chicago-chicago-6?osq=Restaurants,60611,211,0.123122757,3.9,41.8920991,-87.6259524,"43 E Ohio St, Chicago, IL 60611, United States",ChIJe_Fq2lctDogRTpK221p4Fmg,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,1
Giant,/biz/giant-chicago-2?osq=Restaurants,60647,248,0.278017829,4.3,41.8803304,-87.6256792,"55 E Monroe St #3800, Chicago, IL 60603, United States",ChIJaYmkeKQsDogR99AEBkiU9pU,58385,68.2,1,5701,6.7,0,476,0.6,1,3658,4.3,0,62,0.1,1,20518,76.1,1,3.7,1,89974,1,0,1
Cindy's Rooftop,/biz/cindys-rooftop-chicago?osq=Restaurants,60603,78,0.157599409,4.1,41.881662,-87.6249684,"12 S Michigan Ave, Chicago, IL 60603, United States",ChIJeYbaOKQsDogRfJrgIMgDNvE,756,59.3,1,71,5.6,0,0,0,0,397,31.1,1,0,0,0,323,98.8,1,5.2,1,114394,1,1,1
Eden,/biz/eden-chicago-11?osq=Restaurants,60618,177,0.045200496,4.4,41.8830278,-87.624905,"30 N Michigan Ave # 1410, Chicago, IL 60602, United States",ChIJk40LNKQsDogRRY9qSVGILQg,62235,65.5,1,2661,2.8,0,199,0.2,0,6151,6.5,0,154,0.2,1,13382,65.7,1,4.8,1,91650,1,0,1
Sweetgreen,/biz/sweetgreen-chicago-24?osq=Restaurants,60614,269,0.032748276,4.9,41.8849641,-87.6247284,"150 N Michigan Ave, Chicago, IL 60601, United States",ChIJS1BWjKUsDogRTzKzvjcNxP4,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Remington's,/biz/remingtons-chicago?osq=Restaurants,60602,62,0.055148686,4.2,41.8826897,-87.6246716,"20 N Michigan Ave, Chicago, IL 60602, United States",ChIJfecaS6QsDogRYoT-1zdAdJE,623,54.6,1,38,3.3,0,380,33.3,1,101,8.8,1,0,0,0,335,67.5,1,0,0,235666,1,1,1
The Gage,/biz/the-gage-chicago?osq=Restaurants,60603,78,0.220538954,4.2,41.8813255,-87.6246582,"24 S Michigan Ave, Chicago, IL 60603, United States",ChIJ5a8ra6QsDogRENtJLAp40AE,756,59.3,1,71,5.6,0,0,0,0,397,31.1,1,0,0,0,323,98.8,1,5.2,1,114394,1,1,1
The Purple Pig,/biz/the-purple-pig-chicago?osq=Restaurants,60611,211,0.764913681,4.2,41.890739,-87.6245691,"444 Michigan Ave, Chicago, IL 60611, United States",ChIJl8NTEawsDogRwXH-IVDyH2A,24162,69.9,1,1077,3.1,0,36,0.1,0,7172,20.8,1,0,0,0,9050,96.5,1,2.5,0,117344,1,1,1
