Name_x,URL,ZIP,Count,AverageExposure,Stars,Latitude,Longitude,Address,PlaceID,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Provare,/biz/provare-chicago?osq=Restaurants,60642,73,0.149263799,4.5,41.8959645,-87.6632941,"1421 W Chicago Ave, Chicago, IL 60642, United States",ChIJseVXOfHTD4gRZ3f6t3Gmkok,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,1
Dear Margaret,/biz/dear-margaret-chicago?osq=Restaurants,60657,233,0.129919883,4.7,41.9358605,-87.6629129,"2965 N Lincoln Ave, Chicago, IL 60657, United States",ChIJK6F0pf3TD4gRE6NV_SnqgzU,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
Bambola & Coquette,/biz/bambola-and-coquette-chicago-2?osq=Restaurants,60607,198,0.035311132,3.8,41.8845081,-87.6627103,"1402 W Randolph St, Chicago, IL 60607, United States",ChIJMzdq5oMtDogR_8ew6EEAAHQ,16844,56.2,1,3742,12.5,0,107,0.4,0,6724,22.4,1,17,0.1,1,8429,88.1,1,7,1,109634,1,0,0
Fat Shack,/biz/fat-shack-chicago-3?osq=Restaurants,60614,269,0.109257946,4.6,41.9199959,-87.6625407,"2140 N Clybourn Ave, Chicago, IL 60614, United States",ChIJZRClVdXTD4gRJMqVfqy60dY,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Noble Thai,/biz/noble-thai-chicago?osq=Restaurants,60642,73,0.031628603,4.5,41.8959693,-87.6621856,"1371 W Chicago Ave, Chicago, IL 60642, United States",ChIJ8x6-RWvTD4gRF2dcSiM1i8A,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,1
Farm Bar Lakeview,/biz/farm-bar-lakeview-chicago?osq=Restaurants,60657,233,0.131298566,4.2,41.9363136,-87.6614008,"1300 W Wellington Ave, Chicago, IL 60657, United States",ChIJkb-okVXSD4gREGIEw0kBG6E,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,4.2,1,98457,1,0,0
1308 Chicago,/biz/1308-chicago-chicago?osq=Restaurants,60642,73,0.105143357,4.8,41.9056954,-87.6601398,"1308 N Elston Ave, Chicago, IL 60642, United States",ChIJSaK7HorTD4gR9SMNsUQZoIU,15076,70.5,1,2067,9.7,0,15,0.1,0,1595,7.5,1,0,0,0,8215,87.8,1,4.2,1,131201,1,0,0
Quesabirria Jalisco Tacos,/biz/quesabirria-jalisco-tacos-chicago-2?osq=Restaurants,60608,148,0.107798917,4.9,41.8579953,-87.6595477,"1314 W 18th St, Chicago, IL 60608, United States",ChIJe-XHyHwtDogRUZiww0tON24,59259,82.2,1,2683,3.7,0,94,0.1,0,4833,6.7,0,105,0.1,1,23108,90.9,1,7.5,1,98457,1,1,0
Royal Highness Zhu,/biz/royal-highness-zhu-chicago-2?osq=Restaurants,60614,269,0.085503692,4.5,41.9251625,-87.6591596,"1217-1219 W Fullerton Ave, Chicago, IL 60614, United States",ChIJ-eyfYMHTD4gRkaVNcDeyAm4,59962,83.1,1,2863,4,0,27,0,0,5165,7.2,1,2,0,0,20623,93.3,1,3.4,0,123610,1,1,0
Lost Never Found,/biz/lost-never-found-chicago?osq=Restaurants,60613,126,0.152430232,4.7,41.9486713,-87.6581882,"3660 N Clark St, Chicago, IL 60613, United States",ChIJOyRDx-PTD4gRIDg5xwcolqU,41222,77.4,1,3146,5.9,0,160,0.3,0,4651,8.7,1,7,0,0,14545,86.4,1,4.1,1,88267,1,1,0
