Restaurant,Latitude,Longitude,Address,PlaceID,URL,ZIP,AverageExposure,Stars,Count,White,ofWhite,WN,Black,ofBlack,BN,AmericanIndaian,ofAI,AIN,Asian,ofAisan,AN,NativeHawiian,ofNativeHawiian,NHN,Edu,ofEDU,HED,Unemployment,HUne,Wealth,HWe,Attraction,Hotspot
Carne Mare,40.7056809,-74.0021876,"89 South St, New York, NY 10038, United States",ChIJBaD9A0ZbwokRu6ArQW3Nj1E,/biz/carne-mare-new-york-5?osq=Restaurants,10038,0.180682573,4.4,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
TAGMO,40.7076384,-74.0021741,"226 Front St, New York, NY 10038, United States",ChIJIzd9bUtbwokRtDd_H__j_GI,/biz/tagmo-new-york?osq=Restaurants,10038,0.114668671,4.3,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Boqueria Soho,40.7249228,-74.0021554,"171 Spring St, New York, NY 10012, United States",ChIJA914R4xZwokRzfeGqRbXLd4,/biz/boqueria-soho-new-york-2?osq=Restaurants,10012,0.214918964,4.1,28,15836,71.1,1,806,3.6,0,0,0,0,4131,18.6,1,0,0,0,5883,93.9,1,4.7,1,117581,1,1,0
Barbalu Restaurant,40.707429,-74.002145,"225-227 Front St, New York, NY 10038, United States",ChIJC0yxuDxawokR93stpfZoc_A,/biz/barbalu-restaurant-new-york?osq=Restaurants,10038,0.088206322,4,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Don Angie,40.7378037,-74.0020939,"103 Greenwich Ave, New York, NY 10014, United States",ChIJfxC19JVZwokRX2uKgQAL17c,/biz/don-angie-new-york?osq=Restaurants,10014,0.130332489,4.5,17,25507,85.6,1,539,1.8,0,27,0.1,0,1377,4.6,0,0,0,0,8297,97.2,1,7.4,1,136559,1,1,0
The Hideaway Seaport,40.7080567,-74.0020756,"22 Peck Slip, New York, NY 10038, United States",ChIJ87oGtjxawokRezKwgXh6Cg4,/biz/the-hideaway-seaport-new-york?osq=Restaurants,10038,0.132637022,4.1,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
The Fulton by Jean-Georges,40.7063467,-74.0020019,"89 South St, New York, NY 10038, United States",ChIJaXwp6UBbwokR1Ki9x6-BIug,/biz/the-fulton-by-jean-georges-new-york-2?osq=Restaurants,10038,0.036652584,4.4,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Au Cheval,40.7181159,-74.0019617,"33 Cortlandt Alley, New York, NY 10013, United States",ChIJt_HATrRbwokREfGhs1PnzwQ,/biz/au-cheval-new-york-7?osq=Restaurants,10013,0.015305579,4.4,23,17204,58.2,1,1000,3.4,0,27,0.1,0,9160,31,1,0,0,0,4039,80.9,1,3.5,0,137572,1,0,0
Seaport House,40.7074816,-74.0019238,"229 Front St, New York, NY 10038, United States",ChIJb3rNQsZbwokRUZS3xpAxaMI,/biz/seaport-house-new-york?osq=Restaurants,10038,0.134938094,4.1,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Fishmarket Restaurant,40.7071693,-74.0019226,"111 South St, New York, NY 10038, United States",ChIJ4_EelTxawokRIrVex08F1xQ,/biz/fishmarket-restaurant-new-york?osq=Restaurants,10038,0.212438368,4.4,21,11554,49.5,1,2495,10.7,0,55,0.2,0,6638,28.4,1,0,0,0,4736,88.3,1,7.2,1,99924,1,1,1
Mercado Little Spain,40.7529181,-74.0018896,"10 Hudson Yards, New York, NY 10001, United States",ChIJgx-LUDlZwokRN6_WQwx4WEc,/biz/mercado-little-spain-new-york?osq=Restaurants,10001,0.141917948,3.4,10,16963,62.9,1,2117,7.9,0,40,0.1,0,4527,16.8,1,50,0.2,1,6584,88.1,1,4.1,1,101409,1,1,0
