,0,Count
46,[[  37.333145 -121.892216]],1
47,[[  37.3571802 -121.8590367]],1
48,"[[  37.3869719 -121.8873518]
 [  37.3872461 -121.8877208]
 [  37.387226  -121.8853339]
 [  37.3869719 -121.8873518]]",4
49,"[[  37.3361417 -121.8987222]
 [  37.3353731 -121.8980615]
 [  37.3350444 -121.8979942]]",3
50,[[  37.3658817 -121.9257054]],1
51,[[  37.3186372 -121.8831437]],1
52,[[  37.3653324 -121.9160655]],1
53,"[[  37.329284  -121.8906639]
 [  37.3288192 -121.8916366]]",2
54,[[  37.3515316 -121.925489 ]],1
55,"[[  37.2881977 -121.9342035]
 [  37.2889739 -121.9332681]
 [  37.287294  -121.9346613]
 [  37.2895353 -121.9326894]
 [  37.2889833 -121.9324577]
 [  37.2879166 -121.9339611]
 [  37.2889833 -121.9324577]]",7
56,"[[  37.2869637 -121.9483633]
 [  37.2869637 -121.9483633]
 [  37.2868705 -121.9464336]
 [  37.2872623 -121.9466851]
 [  37.28727   -121.94654  ]
 [  37.2872623 -121.9466851]]",6
57,"[[  37.2869126 -121.9437336]
 [  37.2869552 -121.9430069]
 [  37.2865418 -121.9439141]
 [  37.2865439 -121.9438206]
 [  37.2869095 -121.9434408]
 [  37.2869629 -121.9428397]
 [  37.2871612 -121.9437394]]",7
58,[[  37.2855262 -121.9797403]],1
59,[[  37.2831557 -121.9313338]],1
60,"[[  37.2947332 -121.9617974]
 [  37.2949624 -121.9637421]
 [  37.2945047 -121.9646189]]",3
61,[[ 19.4326077 -99.133208 ]],1
62,[[  37.2998843 -121.824297 ]],1
63,[[  37.273782  -121.9718836]],1
64,"[[  37.383484  -121.8931942]
 [  37.3835746 -121.8929488]]",2
65,[[  37.2875777 -121.9403688]],1
66,[[  37.285203 -121.950111]],1
67,"[[  37.3238358 -122.009883 ]
 [  37.3233964 -122.0086335]
 [  37.3233788 -122.0090854]
 [  37.32406   -122.0100792]
 [  37.3233207 -122.0093603]]",5
68,"[[  37.3339808 -121.9152907]
 [  37.3330727 -121.9141275]
 [  37.3331852 -121.9142619]]",3
69,[[  37.323295 -121.914231]],1
70,[[  37.3319575 -121.9055054]],1
71,[[  37.3316014 -121.9125716]],1
72,[[  37.7747166 -122.4166601]],1
73,[[  37.3407623 -121.9177478]],1
74,[[  37.3217475 -121.9022138]],1
75,"[[  37.3258587 -121.8987945]
 [  37.3253876 -121.8984897]]",2
76,[[  37.3340247 -121.9246244]],1
77,[[  37.7748269 -122.4210277]],1
78,"[[  37.3307982 -121.858313 ]
 [  37.3297651 -121.8573907]
 [  37.3316549 -121.8567764]
 [  37.3290081 -121.8583559]
 [  37.3288503 -121.8583455]
 [  37.3315753 -121.8577602]
 [  37.3318594 -121.8569779]
 [  37.3325236 -121.8583806]
 [  37.331969  -121.8577006]
 [  37.3317185 -121.8574759]
 [  37.3294272 -121.8592994]]",11
79,[[  37.3261973 -121.8211378]],1
80,[[  37.3219505 -121.8230446]],1
81,[[  37.3607536 -121.8991866]],1
82,"[[  37.3188799 -121.9740943]
 [  37.3199073 -121.9732498]
 [  37.3198094 -121.9738971]]",3
83,[[  37.3065618 -121.9775703]],1
84,[[  37.3003042 -121.9800368]],1
85,[[  37.3089323 -121.9939037]],1
86,"[[  37.321476  -121.972068 ]
 [  37.321474  -121.9718614]
 [  37.321476  -121.972068 ]]",3
87,[[  33.9458359 -118.4039874]],1
88,[[  37.3156767 -121.9781519]],1
89,[[  37.3086802 -122.012402 ]],1
90,"[[  37.2925717 -121.9953485]
 [  37.290451  -121.993072 ]
 [  37.2914178 -121.994346 ]]",3
91,[[  37.2927115 -121.9887499]],1
92,[[  37.3611807 -122.0259782]],1
93,"[[  37.338848 -121.972908]
 [  37.338848 -121.972908]]",2
94,"[[  37.3363574 -121.9942367]
 [  37.336347  -121.994157 ]]",2
95,[[  37.3519843 -121.9816609]],1
96,"[[  37.351122  -121.97666  ]
 [  37.3513928 -121.9782063]
 [  37.3520831 -121.9792529]]",3
97,"[[  37.345773  -121.977998 ]
 [  37.3458572 -121.9787835]]",2
98,[[  37.3392213 -121.9942871]],1
99,"[[  37.3520536 -121.9863702]
 [  37.35272   -121.98685  ]]",2
100,[[  37.257452  -121.8606526]],1
101,[[  37.2758794 -121.8529556]],1
102,[[  37.3156753 -121.9496735]],1
103,[[  37.3819342 -121.9767825]],1
104,[[  37.3933343 -121.9775162]],1
105,[[  37.4081023 -121.9634644]],1
106,[[  37.3894595 -121.9839134]],1
107,[[  37.3764667 -121.9564944]],1
108,[[  37.348743 -121.947704]],1
109,[[  37.3520436 -121.9663527]],1
110,"[[  37.3296971 -121.9667893]
 [  37.328383  -121.9662021]]",2
111,"[[  37.2247815 -121.98242  ]
 [  37.223545  -121.983168 ]
 [  37.2234356 -121.9836032]
 [  37.2261161 -121.9820709]
 [  37.2230985 -121.9841452]
 [  37.22319   -121.98182  ]]",6
112,[[  37.3376149 -121.9507613]],1
113,"[[  37.3434096 -121.958998 ]
 [  37.3435412 -121.9589076]]",2
114,[[  37.3529778 -121.9618972]],1
115,[[  37.3542486 -121.9468457]],1
116,[[  37.4208539 -121.9164272]],1
117,[[  37.3727785 -121.8738966]],1
118,[[  37.3844502 -121.9273309]],1
119,[[  37.2720381 -121.9333648]],1
120,[[  37.2744355 -121.9328108]],1
121,[[  37.2611802 -121.9317815]],1
122,"[[  37.269257  -121.9066381]
 [  37.2685127 -121.9060821]]",2
123,"[[  37.2283045 -121.9805521]
 [  37.2283345 -121.9810701]
 [  37.2280678 -121.9798769]]",3
124,[[  37.2855973 -121.8425333]],1
125,[[  37.221127 -121.985215]],1
126,[[  37.2214163 -121.9810714]],1
127,[[  37.3512263 -121.8584334]],1
128,"[[  37.3088114 -121.8142769]
 [  37.3087437 -121.8135356]
 [  37.3087506 -121.813537 ]
 [  37.3089879 -121.814436 ]]",4
129,[[  37.3539192 -121.8865675]],1
130,[[  37.2556541 -121.8970162]],1
131,"[[  37.2637723 -121.8763275]
 [  37.2637723 -121.8763275]]",2
132,[[  37.2518791 -121.9090554]],1
133,[[  37.3656386 -122.0280726]],1
134,[[  37.2408327 -121.9032908]],1
135,[[  37.25891 -121.87463]],1
136,"[[  37.3253382 -122.0124613]
 [  37.3253703 -122.0116909]]",2
137,[[  37.3909497 -121.9921677]],1
138,[[  37.6601135 -121.8969439]],1
139,[[  37.4105891 -121.8863946]],1
140,[[  37.4101921 -121.9453023]],1
141,"[[  37.2979318 -121.8383422]
 [  37.2988343 -121.8396013]]",2
142,[[  37.4925404 -121.928545 ]],1
143,[[  37.279359 -121.833864]],1
144,[[  37.3154555 -121.7921685]],1
145,[[  37.2323791 -121.7749097]],1
146,[[  37.2360171 -121.9145905]],1
147,[[  37.244148  -121.9607555]],1
148,[[  37.352633  -122.0039537]],1
149,"[[  37.3726059 -121.8236217]
 [  37.3726059 -121.8236217]]",2
150,[[  37.30912 -121.86755]],1
