,0,Count
37,"[[ 40.7249228  -74.0021554 ]
 [ 40.7250308  -74.0032774 ]
 [ 40.7251013  -74.0037828 ]
 [ 40.72461195 -74.00565386]]",4
38,"[[ 40.7280088 -74.0016204]
 [ 40.7273218 -74.00026  ]
 [ 40.7291594 -74.000702 ]
 [ 40.7270639 -74.0027877]
 [ 40.7296988 -74.0006341]
 [ 40.7297613 -73.9989463]
 [ 40.7306651 -74.0000496]
 [ 40.7288417 -74.0016444]
 [ 40.7301279 -74.0002934]
 [ 40.7288492 -74.0008394]
 [ 40.730622  -74.006532 ]
 [ 40.7302241 -74.0032216]
 [ 40.7301198 -74.0036057]
 [ 40.7301011 -74.0045689]
 [ 40.7299486 -74.0042366]
 [ 40.7302241 -74.0032216]
 [ 40.7293737 -74.0038588]]",17
39,[[ 40.6814473 -73.977239 ]],1
40,"[[ 40.7121723 -73.9573287]
 [ 40.7130606 -73.9573211]
 [ 40.7132156 -73.9563231]]",3
41,[[ 40.7175486 -74.0102046]],1
42,[[ 40.7181159 -74.0019617]],1
43,[[ 40.7474487 -73.9232192]],1
44,"[[ 40.764938  -73.9874407]
 [ 40.7649189 -73.9875784]]",2
45,[[ 40.7245348 -74.0084684]],1
46,[[ 40.635291 -74.011219]],1
47,"[[ 40.7329889 -74.0073417]
 [ 40.734927  -74.006409 ]
 [ 40.7327064 -74.0043455]
 [ 40.7338469 -74.0051887]
 [ 40.732398  -74.005318 ]]",5
48,[[ 40.734403 -74.002696]],1
49,"[[ 40.7378037 -74.0020939]
 [ 40.737697  -74.0041054]]",2
50,[[ 40.73985 -74.00639]],1
51,[[ 40.709203 -73.869669]],1
52,[[ 40.7452948 -73.9757772]],1
53,[[ 40.7415944 -73.9785298]],1
54,[[ 40.7489391 -73.9763062]],1
55,[[ 40.7508931 -73.9771112]],1
56,[[ 40.7510484 -73.972789 ]],1
57,[[ 40.752021  -73.9699042]],1
58,[[ 40.755436 -73.978108]],1
59,[[ 41.1012719 -73.4200788]],1
60,[[ 40.7525862 -73.9850713]],1
61,[[ 40.7626274 -73.9808411]],1
62,[[ 40.7629548 -73.9898444]],1
63,[[ 40.7641748 -73.9847444]],1
64,[[ 40.76308056 -73.9765125 ]],1
65,[[ 40.7691005 -73.9578631]],1
66,[[ 40.7596    -73.9697649]],1
67,[[ 40.7598982 -73.9732046]],1
68,"[[ 40.7577011 -73.987068 ]
 [ 40.757498  -73.986654 ]]",2
69,[[ 40.7606458 -73.9913281]],1
