,0,Count
18,[[ 29.9533104 -90.0513595]],1
19,[[ 29.9243955 -90.1088308]],1
20,"[[ 29.9210475 -90.0995441]
 [ 29.9211388 -90.0984265]]",2
21,[[ 29.921292  -90.0878104]],1
22,"[[ 29.9636056 -90.0576806]
 [ 29.9644171 -90.0579069]
 [ 29.9638397 -90.0576903]
 [ 29.9637478 -90.0579431]
 [ 29.9632806 -90.0578583]
 [ 29.9642833 -90.0578883]
 [ 29.9627521 -90.0577798]
 [ 29.965255  -90.0591496]
 [ 29.962952  -90.0575079]
 [ 29.9656621 -90.0577997]
 [ 29.9644419 -90.0591496]]",11
23,"[[ 29.9250792 -90.084843 ]
 [ 29.924333  -90.086037 ]
 [ 29.9241093 -90.086057 ]]",3
24,[[ 29.9260416 -90.0825785]],1
25,[[ 29.9216298 -90.1186022]],1
26,[[ 29.9163156 -90.1121792]],1
27,[[ 29.9714037 -90.1063609]],1
28,[[ 29.9170985 -90.1024788]],1
29,"[[ 29.9685686 -90.0549801]
 [ 29.9685748 -90.0548751]
 [ 29.9668227 -90.0549323]
 [ 29.9688692 -90.0560416]]",4
30,"[[ 29.9864379 -90.0764189]
 [ 29.9862484 -90.0764834]]",2
31,[[ 29.9204574 -90.1032111]],1
32,[[ 29.9674752 -90.1019385]],1
33,[[ 29.9275388 -90.0926069]],1
34,[[ 29.9229881 -90.0886166]],1
35,[[ 29.9218098 -90.0763238]],1
36,"[[ 29.9636766 -90.0529843]
 [ 29.9636766 -90.0529843]]",2
37,"[[ 29.967372  -90.0619562]
 [ 29.9671824 -90.0615693]]",2
38,[[ 29.9622141 -90.0608957]],1
39,[[ 29.9686669 -90.0678635]],1
40,"[[ 29.9654359 -90.0625485]
 [ 29.9644358 -90.0617247]]",2
41,"[[ 29.9634452 -90.0654254]
 [ 29.9631574 -90.0658448]]",2
42,[[ 29.9638081 -90.0719561]],1
43,[[ 29.9629195 -90.0548891]],1
44,"[[ 29.9671511 -90.0408201]
 [ 29.9667999 -90.0414273]]",2
45,"[[ 29.9641712 -90.0435768]
 [ 29.9648556 -90.0426803]
 [ 29.9649776 -90.0426175]
 [ 29.9648652 -90.0428747]
 [ 29.9648652 -90.0428747]]",5
46,"[[ 29.9675024 -90.044706 ]
 [ 29.9685788 -90.0457059]]",2
47,[[ 29.9646566 -90.0464351]],1
48,[[ 29.9629011 -90.048012 ]],1
49,[[ 29.9693101 -90.0637507]],1
50,[[ 29.9615347 -90.0409199]],1
51,"[[ 29.9687494 -90.0510697]
 [ 29.9694003 -90.052128 ]]",2
52,"[[ 29.9656525 -90.0510828]
 [ 29.9669537 -90.0520609]]",2
53,[[ 29.9576079 -90.1867173]],1
54,[[ 29.9657944 -90.0348592]],1
55,[[ 29.9438499 -90.1339165]],1
56,"[[ 29.9490747 -90.132254 ]
 [ 29.9477479 -90.1304153]
 [ 29.9488979 -90.1318345]]",3
57,[[ 29.9498344 -90.1278338]],1
58,[[ 29.9456827 -90.1347506]],1
59,[[ 29.94444427 -90.12604157]],1
60,"[[ 29.9761237 -90.0995795]
 [ 29.9752825 -90.1002005]]",2
61,"[[ 29.9713137 -90.0921536]
 [ 29.9712143 -90.0913696]]",2
62,"[[ 29.9805314 -90.08435  ]
 [ 29.9807233 -90.0853493]]",2
63,[[ 29.961597 -90.088282]],1
64,"[[ 29.9691458 -90.0800887]
 [ 29.9682103 -90.0784912]
 [ 29.9691932 -90.0789159]]",3
65,[[ 29.963255  -90.0891214]],1
66,"[[ 29.9807262 -90.0944858]
 [ 29.9805129 -90.0935968]]",2
67,[[ 29.9736833 -90.0902084]],1
68,"[[ 29.974172  -90.097435 ]
 [ 29.973103  -90.0959144]]",2
69,[[ 29.9832887 -90.1049012]],1
70,[[ 29.9787338 -90.1021884]],1
71,[[ 30.0048102 -90.1058565]],1
72,[[ 29.9847303 -90.1085843]],1
73,[[ 30.0356972 -89.9149044]],1
74,"[[ 29.9288071 -90.0842041]
 [ 29.930169  -90.085041 ]]",2
75,"[[ 29.9289293 -90.0776122]
 [ 29.9294801 -90.0771601]
 [ 29.9279293 -90.0789655]]",3
76,"[[ 29.9339761 -90.0728955]
 [ 29.9320804 -90.0734571]
 [ 29.9318106 -90.0734061]
 [ 29.9313212 -90.0738651]
 [ 29.9317757 -90.0738518]
 [ 29.9328889 -90.0731537]]",6
