,0,Count
32,[[  37.7599101 -122.4211994]],1
33,[[  37.7531052 -122.4068629]],1
34,[[  37.7614682 -122.4088683]],1
35,[[  37.7523338 -122.4154986]],1
36,[[  37.739055  -122.4137181]],1
37,[[55.7878944 49.1233294]],1
38,"[[  37.7718487 -122.4334671]
 [  37.7719418 -122.4307763]
 [  37.7722008 -122.4308463]
 [  37.7721917 -122.4306187]
 [  37.7720958 -122.4315968]
 [  37.7717801 -122.4305256]
 [  37.7710495 -122.4320581]
 [  37.7719194 -122.4311817]
 [  37.7724837 -122.4290069]
 [  37.7718749 -122.430865 ]]",10
39,"[[  37.7692461 -122.4521319]
 [  37.7692568 -122.4520459]
 [  37.7694129 -122.4509439]
 [  37.7693264 -122.4511621]
 [  37.7695784 -122.4514912]]",5
40,"[[  37.776525  -122.4250028]
 [  37.7750997 -122.4210907]
 [  37.7783652 -122.4231749]
 [  37.7744007 -122.4209357]
 [  37.7744007 -122.4209357]
 [  37.7749343 -122.4223706]
 [  37.7758205 -122.4226361]
 [  37.7763193 -122.4263741]
 [  37.7763838 -122.4247376]
 [  37.776525  -122.4250028]
 [  37.7779295 -122.4236088]
 [  37.7768654 -122.4239917]
 [  37.7778352 -122.4242241]
 [  37.7780873 -122.4226796]
 [  37.7767268 -122.4214764]
 [  37.7769712 -122.4231338]
 [  37.7748812 -122.422725 ]]",17
41,"[[  37.7652466 -122.4500002]
 [  37.7657223 -122.4497586]
 [  37.7661174 -122.4498888]
 [  37.7658617 -122.4503678]]",4
42,[[  37.7662724 -122.4527283]],1
43,[[  37.7702476 -122.4459574]],1
44,[[  37.8904613 -122.2977616]],1
45,"[[  37.7973243 -122.4056692]
 [  37.7997075 -122.4083431]
 [  37.7997326 -122.4082666]
 [  37.8001849 -122.4093139]
 [  37.7982457 -122.4070005]
 [  37.7964254 -122.4053439]
 [  37.7976592 -122.4075332]
 [  37.797452  -122.4087366]
 [  37.7960614 -122.4070842]]",9
46,[[  37.7738524 -122.4459164]],1
47,"[[  37.7650063 -122.4225812]
 [  37.7650114 -122.4224967]
 [  37.7650035 -122.4226253]
 [  37.7647308 -122.4231086]
 [  37.7649403 -122.42454  ]]",5
48,[[  37.8089886 -122.4102974]],1
49,"[[  37.8067911 -122.417499 ]
 [  37.8067367 -122.4169367]
 [  37.8072689 -122.4170759]]",3
50,"[[  37.8012775 -122.4113773]
 [  37.8012775 -122.4113773]]",2
51,"[[  37.7788559 -122.3924135]
 [  37.7781623 -122.3938735]]",2
52,"[[  37.7805539 -122.4788633]
 [  37.782193  -122.4785914]
 [  37.7824176 -122.4789214]
 [  37.782385  -122.479688 ]]",4
53,"[[  37.7837101 -122.4830164]
 [  37.7838738 -122.4830116]
 [  37.7819382 -122.4831857]
 [  37.7819242 -122.4845393]
 [  37.7820428 -122.4819497]]",5
54,[[  37.7800597 -122.4816949]],1
55,[[  37.7814671 -122.492871 ]],1
56,[[  37.7798278 -122.4852174]],1
57,[[  37.7767113 -122.4782853]],1
58,"[[  37.7759183 -122.4956456]
 [  37.7759068 -122.4959241]]",2
59,"[[  37.7697063 -122.4023517]
 [  37.7685267 -122.4022822]
 [  37.7695835 -122.4035965]
 [  37.7697063 -122.4023517]]",4
60,[[  37.7761416 -122.4298342]],1
61,"[[  37.7640827 -122.4622264]
 [  37.7640334 -122.4634545]]",2
62,[[  37.7623799 -122.5068746]],1
63,"[[  37.7638246 -122.4741239]
 [  37.7637611 -122.476388 ]
 [  37.7639889 -122.4732139]]",3
64,[[  37.7635395 -122.4807449]],1
65,"[[  37.754296  -122.4781561]
 [  37.7539923 -122.4791251]]",2
66,[[  37.7603492 -122.5050397]],1
67,[[  37.76098 -122.4988 ]],1
68,[[  37.7631878 -122.483106 ]],1
69,"[[  37.8002412 -122.4375457]
 [  37.7995055 -122.4368309]
 [  37.8004898 -122.4364719]]",3
70,"[[  37.8000385 -122.4415291]
 [  37.7998847 -122.4410075]
 [  37.800489  -122.4401912]]",3
71,"[[  37.7856475 -122.404272 ]
 [  37.7852269 -122.4044815]
 [  37.7856475 -122.404272 ]]",3
72,"[[  37.7976161 -122.4325806]
 [  37.7976358 -122.4328896]]",2
73,[[  37.8038361 -122.4336798]],1
74,"[[  37.8064484 -122.4321771]
 [  37.8066623 -122.4321059]]",2
75,[[  37.7983317 -122.4460622]],1
76,"[[  37.797971  -122.4295229]
 [  37.7979908 -122.4296519]]",2
77,[[  37.8003933 -122.4306817]],1
78,[[  37.742462  -122.4264226]],1
79,[[  37.7459515 -122.427099 ]],1
80,"[[  37.7868143 -122.4118341]
 [  37.7867033 -122.4143432]
 [  37.7881959 -122.4120379]
 [  37.7865155 -122.4129672]
 [  37.7876399 -122.4098237]
 [  37.7878404 -122.4135658]
 [  37.7878464 -122.412987 ]]",7
81,"[[  37.7829132 -122.4188995]
 [  37.783294  -122.4190681]
 [  37.7850052 -122.4167793]
 [  37.7841144 -122.4179722]]",4
82,"[[  37.782877  -122.4096904]
 [  37.7832614 -122.4096508]]",2
83,[[  37.7852408 -122.409331 ]],1
84,[[  37.7705108 -122.4254828]],1
85,[[  37.7762271 -122.4182424]],1
86,[[  37.7681355 -122.424627 ]],1
87,[[  37.7810912 -122.4083599]],1
88,[[  37.7696277 -122.4221285]],1
89,[[  37.7658707 -122.4108335]],1
90,[[  37.7793925 -122.4103825]],1
91,[[  37.7860778 -122.401437 ]],1
92,[[  37.7786451 -122.3973347]],1
93,[[  37.7607634 -122.3873612]],1
94,[[  37.7847929 -122.3954485]],1
95,[[  37.7575756 -122.3899633]],1
96,[[  37.781883  -122.4017023]],1
97,"[[  37.762565  -122.395405 ]
 [  37.7624543 -122.3968391]
 [  37.7624657 -122.3968045]]",3
98,[[  37.7541896 -122.3897345]],1
99,[[  37.5294324 -122.2879281]],1
100,"[[  37.7428554 -122.4763517]
 [  37.7430045 -122.4742071]]",2
101,[[  37.7234066 -122.3908576]],1
102,[[  37.7892247 -122.4205662]],1
103,"[[  37.787474  -122.423679 ]
 [  37.7883383 -122.4241903]]",2
104,"[[  37.7931806 -122.4210694]
 [  37.7926363 -122.4209803]]",2
105,"[[  37.7993433 -122.4189027]
 [  37.7981529 -122.4187331]]",2
106,[[  37.7865775 -122.4179809]],1
107,[[  37.7971887 -122.4239694]],1
108,[[  37.7945013 -122.4179886]],1
109,[[  37.79111   -122.4175713]],1
110,[[  37.8059811 -122.4229458]],1
111,[[  37.7941628 -122.4132647]],1
112,[[  37.7970323 -122.3997559]],1
113,[[  37.7985824 -122.3966387]],1
114,[[  37.7954425 -122.3936136]],1
115,[[  37.7848109 -122.4142068]],1
116,[[  37.7365961 -122.470295 ]],1
117,[[  37.8225013 -122.3755956]],1
118,[[  37.730451  -122.4046593]],1
119,[[  38.0797565 -122.8678528]],1
