,0,Count
35,"[[  61.1872406 -149.8678061]
 [  61.1904987 -149.8687435]
 [  61.1910245 -149.8691368]
 [  61.1883177 -149.8688793]
 [  61.1878299 -149.8717295]
 [  61.1888211 -149.8675676]
 [  61.1872326 -149.8678058]]",7
36,"[[  61.1802451 -149.8852071]
 [  61.1813359 -149.8881341]
 [  61.1787446 -149.8852215]]",3
37,"[[  61.1745389 -149.8970669]
 [  61.1738962 -149.8914096]
 [  61.1750425 -149.8914531]
 [  61.1746935 -149.8971209]
 [  61.1732292 -149.8992155]
 [  61.1747907 -149.8970974]
 [  61.1750936 -149.8970902]
 [  61.1738978 -149.8936778]
 [  61.1724557 -149.8937091]
 [  61.17463   -149.893939 ]]",10
38,"[[  61.1818543 -149.8695497]
 [  61.1812022 -149.8688415]
 [  61.1813822 -149.8694207]]",3
39,[[  61.1985863 -149.881672 ]],1
40,[[  61.1960009 -149.885609 ]],1
41,[[  61.1818728 -149.9327161]],1
42,"[[  61.1727338 -149.8688704]
 [  61.1712348 -149.8672403]
 [  61.1731525 -149.8671983]]",3
43,"[[  61.1461332 -149.8814296]
 [  61.1457199 -149.8815654]]",2
44,[[  61.140744  -149.8391631]],1
45,[[  61.1667502 -149.8808552]],1
46,[[  61.2169056 -149.876911 ]],1
47,"[[  61.1987476 -149.8912635]
 [  61.1987476 -149.8912635]
 [  61.1988864 -149.8906113]]",3
48,"[[  61.1742093 -149.8851912]
 [  61.173957  -149.8826951]]",2
49,[[  61.2259616 -149.7938753]],1
50,"[[  61.197876  -149.8872986]
 [  61.1991861 -149.8868067]]",2
51,[[  61.1183651 -149.8630979]],1
52,"[[  61.1802886 -149.8349665]
 [  61.1802475 -149.8357509]]",2
53,[[  61.2358293 -149.7663437]],1
54,"[[  61.1841088 -149.8667895]
 [  61.1841596 -149.8675765]]",2
55,"[[  61.2286525 -149.7423992]
 [  61.22955   -149.7409001]
 [  61.229949  -149.741059 ]]",3
56,[[  61.1844834 -149.9261851]],1
57,"[[  61.1804684 -149.8277557]
 [  61.1806016 -149.8285731]]",2
58,[[  61.1407056 -149.8466362]],1
59,[[  61.1922645 -149.8802643]],1
60,[[  61.2076063 -149.8725226]],1
61,[[  61.210513  -149.7323432]],1
62,[[  61.1901276 -149.8839148]],1
63,[[  61.154811  -149.8630738]],1
64,"[[  61.1432124 -149.8691315]
 [  61.142683  -149.8677196]]",2
65,[[  61.1382213 -149.9526185]],1
66,[[  61.1680606 -149.8973535]],1
67,"[[  61.1524223 -149.8647587]
 [  61.1522473 -149.8624301]]",2
68,[[  61.2092802 -149.7780386]],1
69,[[  61.0980399 -149.8505007]],1
70,"[[  61.1797322 -149.937812 ]
 [  61.1798507 -149.9379702]
 [  61.1797684 -149.9374491]]",3
71,[[  61.210939 -149.871535]],1
72,"[[  61.2104955 -149.7626081]
 [  61.2100641 -149.7631398]]",2
73,"[[  61.2213762 -149.7792466]
 [  61.2212348 -149.7777421]]",2
74,[[  64.825399  -147.6362249]],1
75,[[  61.1661773 -149.8453373]],1
76,[[  61.1878116 -149.913815 ]],1
77,[[  61.138298 -149.843428]],1
78,[[  61.1081426 -149.8623281]],1
79,"[[  61.1816621 -149.8162067]
 [  61.1816662 -149.8146538]]",2
80,[[  61.14914 -149.87809]],1
81,[[  61.2243227 -149.8029845]],1
82,[[  61.218058  -149.7341934]],1
83,[[  61.1451017 -149.8493037]],1
84,[[  61.19512 -149.83975]],1
85,[[  61.1440312 -149.8927687]],1
86,[[  61.1199527 -149.8678209]],1
87,[[  61.1038368 -149.8582864]],1
88,[[  61.1385403 -149.8816419]],1
89,"[[  61.1672464 -149.8364348]
 [  61.1672431 -149.8376657]
 [  61.1672331 -149.8363495]]",3
90,"[[  61.1976545 -149.8720515]
 [  61.1975987 -149.8705824]]",2
91,"[[  61.2178566 -149.8633984]
 [  61.2178566 -149.8633984]]",2
92,[[  61.2218343 -149.7351549]],1
93,[[  61.3283641 -149.5682486]],1
94,[[  61.1815746 -149.8750737]],1
95,[[  61.1363878 -149.8348514]],1
96,[[  61.1884394 -149.8139897]],1
97,[[  61.118279 -149.883667]],1
98,[[  61.1951164 -149.9356201]],1
99,[[  61.1857628 -149.9301128]],1
100,[[  61.130153  -149.8601063]],1
101,"[[  61.1776141 -149.9425904]
 [  61.1777657 -149.9420715]]",2
102,[[  61.1500188 -149.8647611]],1
103,[[  60.9875187 -149.5168105]],1
104,[[  60.9857177 -149.4979858]],1
105,[[  61.1097545 -149.8575437]],1
106,[[  61.1901131 -149.8322363]],1
107,[[  61.1749657 -149.9484967]],1
108,[[  61.181058  -149.8391475]],1
109,[[  47.6185157 -117.2509176]],1
110,[[  61.1757679 -149.9430422]],1
