,0,Count
63,"[[ 27.7294485 -97.3722806]
 [ 27.7297981 -97.3722418]
 [ 27.7319446 -97.3719991]
 [ 27.7319078 -97.3719726]
 [ 27.731192  -97.3718166]
 [ 27.7321465 -97.3721795]]",6
64,[[ 27.6898948 -97.3304206]],1
65,[[ 27.7370358 -97.3646316]],1
66,"[[ 27.6936684 -97.3642682]
 [ 27.6938792 -97.3647126]
 [ 27.6934507 -97.3652769]
 [ 27.6938934 -97.3664646]]",4
67,"[[ 27.7290623 -97.3699936]
 [ 27.7293205 -97.369981 ]
 [ 27.7290623 -97.3699936]]",3
68,"[[ 27.7320428 -97.3925878]
 [ 27.7320428 -97.3925878]
 [ 27.7320428 -97.3925878]]",3
69,"[[ 27.6941083 -97.341344 ]
 [ 27.6947697 -97.3412062]]",2
70,"[[ 27.7246859 -97.3633993]
 [ 27.7243355 -97.3627098]]",2
71,"[[ 27.6886403 -97.3639476]
 [ 27.6883376 -97.362713 ]]",2
72,[[ 27.7231179 -97.3607067]],1
73,[[ 27.7054544 -97.357734 ]],1
74,[[ 27.7186218 -97.3344841]],1
75,"[[ 27.7036801 -97.364085 ]
 [ 27.70425   -97.3653   ]
 [ 27.70487   -97.36584  ]]",3
76,"[[ 27.7002322 -97.3568464]
 [ 27.7001493 -97.3567057]]",2
77,"[[ 27.6965838 -97.3500189]
 [ 27.6973603 -97.3511747]]",2
78,[[ 27.7472674 -97.4196916]],1
79,[[ 27.7673688 -97.4082889]],1
80,"[[ 27.7023734 -97.3614004]
 [ 27.7022112 -97.3602579]]",2
81,[[ 27.7081034 -97.3879786]],1
82,[[ 27.7009182 -97.3632083]],1
83,[[ 27.7069203 -97.3622746]],1
84,"[[ 27.7787913 -97.3969203]
 [ 27.7787913 -97.3969203]]",2
85,"[[ 27.7390566 -97.4248046]
 [ 27.7374379 -97.425347 ]]",2
86,"[[ 27.7019742 -97.3910231]
 [ 27.7023451 -97.3915128]
 [ 27.7022065 -97.3916774]
 [ 27.7023451 -97.3915128]]",4
87,"[[ 27.6918371 -97.3992103]
 [ 27.6918371 -97.3992103]
 [ 27.6915655 -97.3976583]
 [ 27.6913977 -97.3997275]
 [ 27.6916774 -97.3971067]]",5
88,[[55.6743298 12.5652852]],1
89,"[[ 27.6739521 -97.3906173]
 [ 27.6748    -97.3912   ]
 [ 27.675694  -97.39058  ]]",3
90,"[[ 27.6995953 -97.4110293]
 [ 27.6980655 -97.4107251]
 [ 27.7000853 -97.4109686]
 [ 27.7000853 -97.4109686]]",4
91,"[[ 27.6963494 -97.3766013]
 [ 27.697401  -97.375736 ]
 [ 27.6955932 -97.3763719]
 [ 27.6963494 -97.3766013]]",4
92,[[ 27.6804843 -97.3859373]],1
93,[[ 27.6675777 -97.3938974]],1
94,"[[ 27.6865058 -97.3850104]
 [ 27.686219  -97.386477 ]]",2
95,[[ 27.7097745 -97.4065253]],1
96,"[[ 27.6734914 -97.2798763]
 [ 27.6732012 -97.2800892]]",2
97,[[ 27.7064312 -97.4086745]],1
98,[[ 27.6861915 -97.3654371]],1
99,"[[ 27.6604075 -97.3822095]
 [ 27.6608615 -97.3830112]
 [ 27.6608615 -97.3830112]]",3
100,[[ 27.672747  -97.3565019]],1
101,[[ 27.6654183 -97.3926791]],1
102,"[[ 27.6783371 -97.3725452]
 [ 27.6782958 -97.3724634]]",2
103,[[ 27.6785792 -97.3646546]],1
104,[[ 27.6638989 -97.3894427]],1
105,"[[ 27.6803149 -97.3743832]
 [ 27.6803259 -97.3744961]]",2
106,[[ 27.7958965 -97.4155487]],1
107,[[ 27.6645618 -97.3963182]],1
108,[[ 27.6590196 -97.3796361]],1
109,[[ 27.6766262 -97.3646965]],1
110,[[ 27.6864193 -97.3632874]],1
111,[[ 27.7174798 -97.4379892]],1
112,[[ 27.700577  -97.4156802]],1
113,[[ 27.7530592 -97.4196982]],1
114,[[ 27.7261167 -97.409251 ]],1
115,[[ 27.7572691 -97.4136311]],1
116,[[ 27.7238761 -97.4153312]],1
117,[[ 27.7326064 -97.4100418]],1
118,[[ 27.7547111 -97.4631345]],1
119,[[ 27.7493933 -97.4040506]],1
120,[[ 27.7075386 -97.3658874]],1
121,[[ 27.71181764 -97.42278857]],1
122,[[ 27.76081674 -97.41255314]],1
123,[[ 27.739206  -97.4365173]],1
124,[[ 27.737775 -97.434435]],1
125,[[ 27.7606101 -97.4483725]],1
126,[[ 27.6760067 -97.2780753]],1
127,"[[ 27.6518037 -97.2934279]
 [ 27.6521315 -97.2929607]]",2
128,[[ 27.6669919 -97.2843834]],1
129,[[ 27.6939148 -97.257744 ]],1
130,[[ 27.6736229 -97.2964172]],1
131,[[ 27.6938772 -97.2669743]],1
